,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",bot,-0.4,-0.4,3,0.005,26.2495,0.02037149409,117.914368,3.465456009,0.001942548991,22.68892971,0.01612815436,5.885895537,3158.391692,-12.52261966,38.30647039,-0.004268173971,-0.000125036569
1,"LOE.12002,LOEN.52002",bot,-0.7,-0.4,3,0.005,26.2495,0.023035467,90.11218754,2.556294677,0.001950759978,22.64112912,0.02413880441,12.65713362,9863.235754,-16.70154764,47.48767829,-0.004912777358,-0.0001386770982
1,"LOE.12002,LOEN.52002",bot,-1.0,-0.4,3,0.005,26.2495,0.02709641106,70.3720269,1.870860604,0.001964691963,22.56071014,0.04267269672,36.10628054,45881.95392,-22.21426677,63.25195718,-0.005888800425,-0.0001596785508
1,"LOE.12002,LOEN.52002",bot,-1.3,-0.4,3,0.005,26.2495,0.03438300891,55.13230853,1.268993881,0.001992691722,22.4016466,0.1041071972,179.6600319,473724.5287,-31.11237104,95.76527871,-0.007681417982,-0.0001960704077
1,"LOE.12002,LOEN.52002",bot,-1.6,-0.4,3,0.005,26.2495,0.05269392186,45.93551951,0.6871354694,0.002057103033,22.04814101,0.4739707229,2771.087232,25764818.32,-52.43075016,178.8072676,-0.01248231563,-0.0002782786293
1,"LOE.12002,LOEN.52002",bot,-1.9,-0.4,3,0.005,26.2495,0.1041428934,51.47118352,0.7177697461,0.001965913337,22.55370084,0.1975676106,1046.790735,9060730.625,-66.42840142,119.6866798,-0.02784185449,-0.0004505114297
1,"LOE.12002,LOEN.52002",bot,-2.2,-0.4,3,0.005,26.2495,0.1445070483,57.71232751,1.153751412,0.001897213542,22.95841448,0.01213013117,13.58101155,24716.39063,-32.15134414,41.99020158,-0.04100278267,-0.0005376684703
1,"LOE.12002,LOEN.52002",bot,-0.4,-0.7,3,0.005,26.2495,0.02266727778,45.922128,1.041822605,0.001949578275,22.64798985,0.02286012251,11.42956406,8485.344998,-16.16183029,46.17060775,-0.01715802456,0.0005293911219
1,"LOE.12002,LOEN.52002",bot,-0.7,-0.7,3,0.005,26.2495,0.02650690115,57.2774372,1.490673375,0.001962575007,22.57287455,0.03939676936,31.27843992,37423.93737,-21.45073175,60.85118082,-0.02002477607,0.000618994772
1,"LOE.12002,LOEN.52002",bot,-1.0,-0.7,3,0.005,26.2495,0.03322564078,56.56947477,1.337544642,0.001988088278,22.42756725,0.09117453148,142.3220593,341549.5748,-29.73341083,90.34135301,-0.007352618303,-0.0001916304978
1,"LOE.12002,LOEN.52002",bot,-1.3,-0.7,3,0.005,26.2495,0.04925270038,45.83805744,0.7450494414,0.00204815154,22.09626943,0.3839524043,1881.969918,14687462.12,-48.34062245,165.6981755,-0.01145124606,-0.0002667309113
