,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-0.4,-0.4,-3,-3,26.747,0.04361983238,194.6731739,5.285327845,0.001859847951,23.18789257,-0.003842900511,0.1320745618,10.71566209,8.174990489,-36.11144464,-0.0022400656,0.0005978257306
1,"LOE.12002,LOEN.52002",top,-0.7,-0.4,-3,-3,26.747,0.04735364305,142.5262398,4.083299832,0.001865404877,23.15332917,-0.003067356877,0.1849599646,1.065906939,11.51379705,-39.72155507,0.001072378623,0.0005515556727
1,"LOE.12002,LOEN.52002",top,-1.0,-0.4,-3,-3,26.747,0.05232606792,107.8247912,3.149742501,0.001874040069,23.09992468,-0.001213562342,0.4523831725,-38.7097766,15.73629349,-44.98684519,0.002634081494,0.000567360991
1,"LOE.12002,LOEN.52002",top,-1.3,-0.4,-3,-3,26.747,0.05909597537,84.34200866,2.488123754,0.001888052193,23.01404734,0.002495728939,0.6676622749,-587.7943227,21.33950303,-52.7223741,0.003612438909,0.0006214482176
1,"LOE.12002,LOEN.52002",top,-1.6,-0.4,-3,-3,26.747,0.06860602007,67.61473628,2.017243413,0.001911751624,22.87095325,0.007542741994,-1.864954993,-2305.109011,29.81820306,-63.94905972,0.004317249061,0.0007168846857
1,"LOE.12002,LOEN.52002",top,-1.9,-0.4,-3,-3,26.747,0.08204672957,56.7019262,1.736013328,0.001949555117,22.64812436,0.004016163154,-8.058118903,4482.404282,44.06724286,-77.79560632,0.004718688897,0.0008685374109
1,"LOE.12002,LOEN.52002",top,-2.2,-0.4,-3,-3,26.747,0.0992587264,52.71298593,1.695340788,0.001992731034,22.40142563,-0.02394666128,23.54022899,-61129.54931,65.42225319,-87.17290468,0.004526149057,0.001081528364
1,"LOE.12002,LOEN.52002",top,-0.4,-0.7,-3,-3,26.747,0.04661918925,148.084128,3.792262614,0.00186427037,23.16037311,-0.003272726437,0.1469465222,0.1656882975,10.50260048,-38.95351866,-0.00675981501,0.0007527632825
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,-3,-3,26.747,0.05065983697,127.6563647,3.499469346,0.001870916461,23.1192,-0.002130775406,0.2456128545,-32.59616285,12.90951019,-42.9310877,-0.002948787823,0.0007041084617
1,"LOE.12002,LOEN.52002",top,-1.0,-0.7,-3,-3,26.747,0.05636009588,101.7318208,2.898799876,0.001881760402,23.05248974,0.0002387159225,0.3745745704,-242.7433765,17.11494243,-49.01084334,-0.0004960042578,0.0007065046213
1,"LOE.12002,LOEN.52002",top,-1.3,-0.7,-3,-3,26.747,0.06425866533,80.79164233,2.358858213,0.001899703518,22.94336354,0.003893088008,-0.4895347318,-939.5052671,23.50801434,-57.93166056,0.001027634059,0.000760729082
1,"LOE.12002,LOEN.52002",top,-1.6,-0.7,-3,-3,26.747,0.07551536281,65.85920332,1.96939267,0.001928857742,22.76931161,0.004625395718,-3.859203756,797.860783,33.78675461,-69.80581678,0.001983687775,0.0008701195778
1,"LOE.12002,LOEN.52002",top,-1.9,-0.7,-3,-3,26.747,0.09062427432,57.47069791,1.780206207,0.001968340354,22.53979189,-0.01050712785,8.791738095,-22353.36913,50.08580498,-81.02786389,0.002404083903,0.001040892317
1,"LOE.12002,LOEN.52002",top,-0.4,-1.0,-3,-3,26.747,0.05057053035,112.9628795,2.861511165,0.001870837437,23.11968827,-0.002024915628,0.2832801954,-27.26330371,13.79929426,-43.0056997,-0.009623310303,0.0008732196222
1,"LOE.12002,LOEN.52002",top,-0.7,-1.0,-3,-3,26.747,0.05515701567,105.6871348,2.831391174,0.001879366839,23.0671649,-0.0004346145915,0.2560504413,-208.3883676,15.78869715,-47.63863515,-0.006629049377,0.0008573338678
1,"LOE.12002,LOEN.52002",top,-1.0,-1.0,-3,-3,26.747,0.06175529205,90.57607767,2.540688196,0.001893330914,22.98194267,0.001985869983,-0.3894793717,-609.2296069,20.00411439,-54.62058913,-0.004041367123,0.0008712247257
1,"LOE.12002,LOEN.52002",top,-1.3,-1.0,-3,-3,26.747,0.07112029627,75.26916325,2.188685208,0.001915971771,22.84575142,0.00311899385,-2.441293901,370.9587039,27.34948958,-64.31468064,-0.002202108724,0.0009363126519
1,"LOE.12002,LOEN.52002",top,-1.6,-1.0,-3,-3,26.747,0.08393654459,64.23067611,1.932048006,0.001948778177,22.6526386,-0.005200681971,3.32866387,-7564.698711,39.35310702,-74.97046589,-0.001051085624,0.001061681438
1,"LOE.12002,LOEN.52002",top,-1.9,-1.0,-3,-3,26.747,0.09987727542,59.13942285,1.847372468,0.001983836728,22.45158659,-0.02592292684,36.82607043,-99194.26552,55.92893674,-81.49897354,-0.0005320775903,0.001239671995
1,"LOE.12002,LOEN.52002",top,-0.4,-1.3,-3,-3,26.747,0.05570344666,89.72567018,2.31913088,0.001880706189,23.05894976,0.0003446416055,0.4762554131,-255.154747,17.99392096,-48.66735923,-0.01196854719,0.0009954483676
1,"LOE.12002,LOEN.52002",top,-0.7,-1.3,-3,-3,26.747,0.06125404865,86.12630585,2.322132951,0.001892415793,22.98749872,0.002091127258,-0.3391326624,-722.7897055,20.28657046,-54.29780772,-0.009904503141,0.001017437457
1,"LOE.12002,LOEN.52002",top,-1.0,-1.3,-3,-3,26.747,0.06904258506,78.16308181,2.200873492,0.001910648849,22.87755255,0.002500849486,-2.416845633,92.72996126,25.04098038,-62.03000416,-0.007781934481,0.001062570672
1,"LOE.12002,LOEN.52002",top,-1.3,-1.3,-3,-3,26.747,0.0799916725,69.34398224,2.030972017,0.001937188523,22.72029973,-0.003850051849,0.556037766,-2050.956646,33.48112064,-71.00267132,-0.006019787391,0.001151357788
1,"LOE.12002,LOEN.52002",top,-1.6,-1.3,-3,-3,26.747,0.09383343537,63.38391335,1.922179799,0.001968218133,22.54049171,-0.02070189548,26.91059719,-65563.53145,45.97938429,-77.78449543,-0.004763641287,0.001288670654
1,"LOE.12002,LOEN.52002",top,-1.9,-1.3,-3,-3,26.747,0.1092453427,61.37529508,1.924547219,0.001994123206,22.39360463,-0.03581070946,55.48122884,-155428.5608,60.55739813,-79.57722944,-0.003980503223,0.001455102901
1,"LOE.12002,LOEN.52002",top,-2.2,-1.3,-3,-3,26.747,0.1243331392,62.30963439,2.026740623,0.00201017088,22.30403877,-0.04045102467,54.63219761,-146126.0597,75.40143199,-78.01645336,-0.003625101321,0.001622966377
1,"LOE.12002,LOEN.52002",top,-0.4,-1.6,-3,-3,26.747,0.0625022898,73.70283909,1.990671448,0.001896031996,22.96556683,0.004064876001,-0.1499632488,-1269.038234,23.68580052,-56.56568757,-0.01440659323,0.001141761202
1,"LOE.12002,LOEN.52002",top,-0.7,-1.6,-3,-3,26.747,0.06952608623,71.50937085,1.994774866,0.001912417834,22.86696924,0.003837169447,-2.83269734,-342.9353522,27.07094412,-63.15112856,-0.01319001906,0.001204162702
1,"LOE.12002,LOEN.52002",top,-1.0,-1.6,-3,-3,26.747,0.07887385686,68.04685786,1.965295618,0.001934751066,22.73460708,-0.002965028286,-1.285505818,-17.56849801,32.99805636,-70.36561327,-0.01176990674,0.001289278894
1,"LOE.12002,LOEN.52002",top,-1.3,-1.6,-3,-3,26.747,0.0908482191,64.95638302,1.934740811,0.001960447825,22.58511757,-0.01895585193,20.84207659,-48276.32483,41.79694127,-75.83992141,-0.0103335052,0.001403498424
1,"LOE.12002,LOEN.52002",top,-1.6,-1.6,-3,-3,26.747,0.1046691693,63.56988241,1.942066413,0.001983187616,22.45526058,-0.03414339931,51.35443871,-140155.0639,52.31188803,-77.50291176,-0.00896841726,0.001538113309
1,"LOE.12002,LOEN.52002",top,-1.9,-1.6,-3,-3,26.747,0.118590624,63.73095432,1.998539663,0.001999501476,22.36346713,-0.03909035699,57.51735585,-153260.9363,63.54170221,-76.38913534,-0.007742191629,0.001675573965
1,"LOE.12002,LOEN.52002",top,-2.2,-1.6,-3,-3,26.747,0.1315920338,65.04394922,2.108486973,0.002010031627,22.30481136,-0.03795193843,45.78904354,-112024.8176,76.16899799,-74.48120562,-0.006793710476,0.001804546318
1,"LOE.12002,LOEN.52002",top,-0.4,-1.9,-3,-3,26.747,0.07170944568,62.63996558,1.802333884,0.001919988642,22.82184073,0.006918760323,-4.336314249,-1248.666342,32.17528284,-67.06644499,-0.01733456068,0.001331564331
1,"LOE.12002,LOEN.52002",top,-0.7,-1.9,-3,-3,26.747,0.08049964593,61.90793921,1.819787165,0.001940783004,22.6992501,-0.001575241911,-3.016452895,1470.157887,37.36764955,-73.09325357,-0.01689051098,0.001436013199
1,"LOE.12002,LOEN.52002",top,-1.0,-1.9,-3,-3,26.747,0.09102833598,61.88595263,1.852341356,0.001962390104,22.57393797,-0.01864581555,18.88029185,-44159.68638,43.98865676,-76.81535617,-0.0161202391,0.001555145742
