,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,1,1,26.7495,0.01922559704,114.5453979,3.179106853,0.001836814353,23.33282737,0.006511740822,5.708700023,5379.5146,-4.181534385,13.86514327,-3.10422487e-05,0.0002369837872
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,2,1,26.7495,0.01865824527,117.9727838,3.27353026,0.001845222348,23.27960714,0.01466288771,12.08409345,13108.84081,-8.353887664,24.29082506,-2.814437506e-05,0.0002299546228
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,3,1,26.7495,0.01813524453,121.3230531,3.365886158,0.001858383547,23.19702679,0.02511229856,21.17243507,25401.05349,-12.29416959,34.39378084,-2.558977321e-05,0.0002234776471
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,4,1,26.7495,0.01765107989,124.6020142,3.456327806,0.001875543297,23.09066565,0.03762103844,32.96568522,42727.34561,-16.02840219,44.22318035,-2.331773406e-05,0.0002174837367
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,5,1,26.7495,0.01720114931,127.8148234,3.5449918,0.001896089243,22.96522014,0.05196206461,47.37472079,65325.26307,-19.57845024,53.81944921,-2.128008899e-05,0.0002119152745
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,1,2,26.7495,0.0186948374,117.802815,3.268473823,0.001836719212,23.33343167,0.006244029282,5.299157808,4764.125522,-4.071789056,17.60854929,-2.227764363e-05,0.0002302014253
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,1,3,26.7495,0.01820208617,121.0003527,3.356286772,0.001836631423,23.33398932,0.006005615043,4.945635105,4253.805255,-3.969468877,21.37295398,-1.445743587e-05,0.0002239142958
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,1,4,26.7495,0.01774299209,124.1422344,3.442649888,0.001836550221,23.33450517,0.005792261798,4.638179167,3826.264629,-3.873767544,25.15581317,-7.443043915e-06,0.0002180647956
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,1,5,26.7495,0.01731386971,127.2322592,3.527657809,0.001836474932,23.33498348,0.005600493351,4.368969904,3464.740069,-3.783995956,28.95497135,-1.120997788e-06,0.0002126042518
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-1,-1,26.7495,0.02191697013,100.6183346,2.797132738,0.001838828286,23.3200465,-0.00224068031,0.2416799429,68.91946426,5.357613931,-17.28142989,-6.28012135e-05,0.0002709238416
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-2,-1,26.7495,0.0227885349,96.85367587,2.693901649,0.001853332369,23.22861653,-0.001960274944,0.3145785335,27.67428805,10.83346829,-30.18432362,-6.959350552e-05,0.0002817888253
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-3,-1,26.7495,0.02376527227,92.9692663,2.587524685,0.001880024924,23.06312732,0.0009563538157,0.4334208231,-397.6626165,16.79431266,-43.99455676,-7.772493716e-05,0.0002939781147
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-4,-1,26.7495,0.02487004892,88.95230726,2.477687342,0.001922273998,22.80827047,0.004422721701,-1.410923818,-844.4134881,23.33932132,-58.93903562,-8.760350436e-05,0.0003077826966
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-1,-2,26.7495,0.02271932989,97.08994744,2.700952267,0.001839177054,23.31783528,-0.002327164651,0.2071437369,45.91781498,5.570913679,-21.92708139,-7.802056539e-05,0.000281231709
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-1,-3,26.7495,0.02360807348,93.47072865,2.60250318,0.001839584913,23.3152502,-0.002402954238,0.176348757,23.92756866,5.809640581,-26.66806391,-9.580216732e-05,0.0002926768671
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-1,-4,26.7495,0.0245998126,89.7522156,2.50160628,0.001840067614,23.31219188,-0.00246017422,0.1540675398,6.291486948,6.07929355,-31.52730121,-0.0001167979466,0.0003054827467
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,2,2,26.7495,0.01816067589,121.2144005,3.36253061,0.001844706742,23.28286031,0.01385525704,10.98498162,11351.08914,-8.135317601,27.7544966,-1.988642662e-05,0.000223594082
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,3,3,26.7495,0.01723018761,127.7240116,3.541826507,0.001856176414,23.2108142,0.02221000716,17.25691342,18829.84921,-11.68624119,40.89842146,-1.073679359e-05,0.0002119114446
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,4,4,26.7495,0.01640805458,134.095517,3.717533614,0.001870160855,23.12386998,0.03113560847,24.1105634,27239.72442,-14.90499606,53.47297767,-3.081814701e-06,0.0002016012799
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-2,-2,26.7495,0.02366892414,93.2875236,2.596846245,0.001854878224,23.21893515,-0.001677062755,0.4068971052,33.39639689,11.27581122,-35.4888021,-8.64240668e-05,0.0002931002855
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-3,-3,26.7495,0.0258318557,85.64858789,2.388941506,0.001888484905,23.01141057,0.002717132138,0.2096049215,-827.8209311,18.33171059,-56.57249803,-0.000118979233,0.0003205746359
1,"LOE.12002,LOEN.52002",top,-1.08,-0.85,-4,-4,26.7495,0.02859396271,77.64249388,2.172264514,0.001950759577,22.64113145,0.005483213335,-4.289618834,1108.787079,27.03209636,-82.10941308,-0.0001661831559,0.0003558190625
