,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,1,1,26.748,0.06824734852,60.36973935,1.803682698,0.001826344431,23.39961207,-0.0004200995384,1.490309857,2159.936733,-1.430976992,-0.4790130476,-0.005075111626,0.0009807709874
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,2,1,26.748,0.06403278052,61.80806765,1.833326302,0.001831460811,23.36690457,0.01366982646,27.72014718,78902.47485,-12.38419234,18.65122004,-0.004688455652,0.0009182731371
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,3,1,26.748,0.06028207304,63.51932524,1.870571401,0.001849382222,23.25341062,0.04725536871,117.8809,457798.6115,-21.96323337,37.50602665,-0.004349277274,0.000862771065
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,4,1,26.748,0.05695013938,65.44772345,1.914083441,0.001877261172,23.08009814,0.1002920274,293.8588946,1374136.157,-30.33263043,55.62587464,-0.004052805325,0.0008135887033
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,5,1,26.748,0.05398913551,67.54125334,1.962566237,0.001912556537,22.86614004,0.1691360089,552.2434131,2904220.217,-37.68139445,72.77202274,-0.003793802251,0.0007699990485
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,1,2,26.748,0.06435165616,61.66912817,1.827270499,0.001826958723,23.39567784,0.0002896603407,2.386083539,3841.254676,-2.302436781,5.623157106,-0.004642979067,0.0009204504171
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,1,3,26.748,0.06083772403,63.23004078,1.858563555,0.001827631567,23.39137087,0.001019844451,3.319290984,5649.264808,-2.942694225,11.39368816,-0.004265655308,0.0008664251822
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,1,4,26.748,0.05767684066,65.00691467,1.896420825,0.001828307494,23.38704656,0.001706737774,4.168767544,7267.964129,-3.398571751,16.84906481,-0.003936716944,0.0008181495931
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,1,5,26.748,0.05483588903,66.95542947,1.939687695,0.001828951152,23.38293093,0.002311514779,4.859496486,8494.290724,-3.713062883,22.02295733,-0.003649801392,0.0007750274101
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-1,-1,26.748,0.08864842617,58.26485143,1.78815865,0.001874882702,23.09473317,-0.002243836629,0.2984846696,-1454.575949,29.92246322,-48.73457356,-0.007239587652,0.00129265334
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-2,-1,26.748,0.09503742018,58.54763731,1.803486854,0.001926546241,22.78296701,-0.02054837042,31.27984142,-89585.71706,45.37109711,-62.29062677,-0.007854393107,0.001387980591
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-3,-1,26.748,0.1018481838,59.11426513,1.826107176,0.001994605683,22.39089606,-0.0616710651,136.1106051,-519350.8712,60.94827365,-72.54963026,-0.008494305126,0.001488984413
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-4,-1,26.748,0.1090494779,59.90993202,1.85478515,0.002077046554,21.94203405,-0.1246988688,332.7167522,-1504152.541,76.27280456,-79.41863937,-0.009146627299,0.001594856877
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-1,-2,26.748,0.09438245001,58.59382362,1.808831219,0.001880207974,23.06200463,-0.003491833632,1.542298659,-3593.401416,32.5291658,-54.4580408,-0.007946891153,0.001383565637
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-1,-3,26.748,0.1004120719,59.1784751,1.836708524,0.001885713606,23.02831347,-0.004775218446,2.876688307,-6009.706493,35.08034225,-59.9070838,-0.008708949243,0.001479748579
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-1,-4,26.748,0.1067029159,59.97543258,1.870849835,0.001891340068,22.99403502,-0.005988013874,4.085568106,-8166.843339,37.53645998,-65.10184349,-0.009521111273,0.001580649121
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,2,2,26.748,0.0605043032,63.3994486,1.86505194,0.001833048502,23.35678278,0.01516597773,30.22046841,85533.50427,-12.49566583,24.04097585,-0.004301606501,0.0008637519712
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,3,3,26.748,0.05423759412,67.37078479,1.953800896,0.001851591977,23.23953077,0.04601764058,105.1015728,372552.0838,-20.79007361,46.04638713,-0.003703962824,0.0007698670101
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,4,4,26.748,0.0491763099,71.93594236,2.061116342,0.001875992215,23.08790273,0.0830187373,201.3475863,773708.6968,-27.12353653,65.20219727,-0.003242695526,0.0006946660162
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-2,-2,26.748,0.1010160625,59.12604747,1.830611816,0.001933602588,22.74135777,-0.02285600322,34.728585,-98239.25318,47.95078448,-67.18824125,-0.008588119866,0.001482598574
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-3,-3,26.748,0.1144197969,60.79877495,1.895186978,0.002009835337,22.30590052,-0.06122726503,120.66971,-413493.7753,65.33907387,-80.77321866,-0.01002879635,0.001687558502
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,-4,-4,26.748,0.1286146597,62.90135129,1.973656626,0.00209902155,21.8268745,-0.1056323433,220.9690334,-795639.2285,81.49787945,-90.57671362,-0.01148407848,0.001902046451
