,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.4,0.08983675805,50.83404451,1.640275542,0.001820416447,23.43768023,0.006986307477,14.30855141,39371.75848,-18.83981547,17.74587156,-0.002945583822,0.001189015153
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.45,0.08983745413,50.83300528,1.640224974,0.00182040167,23.43777535,0.006987481728,14.31117121,39380.43167,-18.84113077,17.76479294,-0.002945455935,0.001189041538
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.5,0.08979599214,50.8783192,1.642463556,0.001821093662,23.43332191,0.006940620519,14.20890841,39049.09267,-18.78704156,16.61243011,-0.002950605048,0.001187682879
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.55,0.08979694187,50.87736269,1.642416077,0.00182107873,23.43341798,0.006941578904,14.21098256,39055.75678,-18.78816163,16.65053494,-0.002950499402,0.001187712937
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.6,0.08975264579,50.92173608,1.644619344,0.001821772729,23.42895411,0.006897321148,14.11529382,38748.65094,-18.73625578,14.93544367,-0.002955379791,0.001186315202
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.650000000000002,0.08975627595,50.91831612,1.644448878,0.001821718295,23.42930414,0.00690064263,14.1224239,38771.36627,-18.74019353,15.17579702,-0.002955012613,0.00118642691
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.700000000000003,0.08973273392,50.93941071,1.64550382,0.001822059036,23.42711329,0.006880608871,14.07968771,38636.09865,-18.71624236,13.81930424,-0.002957231846,0.001185716486
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.750000000000004,0.0897063154,50.95956149,1.646523516,0.001822401501,23.42491199,0.006862990699,14.04303063,38523.12021,-18.69451764,15.74838904,-0.00295919879,0.001184964552
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.800000000000004,0.08967470942,50.97801105,1.647479719,0.001822746975,23.42269196,0.006849673526,14.01719445,38449.7937,-18.67681438,30.82966519,-0.002960715812,0.001184137325
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.8,0.08967470942,50.97801105,1.647479719,0.001822746975,23.42269196,0.006849673526,14.01719445,38449.79369,-18.67681438,30.82966519,-0.002960715812,0.001184137325
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.85,0.08963257461,50.99300885,1.64830716,0.001823098443,23.42043407,0.006845025717,14.01318111,38456.46148,-18.66728234,14.50404799,-0.002961326307,0.00118315672
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.900000000000002,0.08956403002,50.99934982,1.64881182,0.001823464807,23.41808117,0.006862098326,14.06394641,38664.28025,-18.6782654,11.42142081,-0.002959673473,0.001181790603
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,26.950000000000003,0.07764573668,53.97881454,1.639694958,0.001823889952,23.41535166,0.006965575245,14.33385482,39681.27449,-18.77029,3.501602401,-0.002949120487,0.001178902248
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,27.0,2.018223441e-14,63.85582941,1.741579726,0.001853974296,23.2245948,0.0006173430072,-0.08994157111,0.4331422938,12.47999998,7.999999979,1.237909887e-14,-5.852074542e-16
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,27.05,1.955411985e-14,63.85582941,1.741579726,0.001853974296,23.2245948,0.0006173430072,-0.08994157111,0.4331422938,12.47999998,7.999999979,-1.177631014e-14,5.839787032e-16
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,27.1,0.08983326652,51.20272442,1.657469891,0.001824629073,23.41060863,0.00649118573,13.16666774,35481.81618,-18.30035693,30.07330625,-0.002999496375,0.001184276586
1,"LOE.12002,LOEN.52002",top,-3,-2,3.12,2,26.7495,27.150000000000002,0.08976353471,51.20867779,1.657958953,0.001824996202,23.40825379,0.006508516037,13.21669094,35682.00384,-18.31212567,23.43452007,-0.002997697313,0.001182895481
