,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,"LOE.12002,LOEN.52002",bot,-2.2,-2.0,2,0.005,26.7495,0.07229058285,50.33485413,1.14651769,0.00182750863,23.39215763,0.01159017132,38.73426552,181425.0868,-15.83126031,10.99929497,-0.004011821161,-0.0007603734733
1,"LOE.12002,LOEN.52002",bot,-2.3,-1.9,2,0.005,26.7495,0.07378319625,50.63004357,1.137468026,0.001826522178,23.39847349,0.009257388551,29.55224245,127849.5999,-14.97960157,9.136454967,-0.005306773979,-0.0007428280351
2,"LOE.12002,LOEN.52002",bot,-2.4,-1.8,2,0.005,26.7495,0.0755414857,50.89168756,1.128013695,0.001825489064,23.4050936,0.006956047569,21.26635377,83673.90663,-13.94249042,7.036197487,-0.006613992735,-0.0007274035223
3,"LOE.12002,LOEN.52002",bot,-2.5,-1.7,2,0.005,26.7495,0.07748165007,51.12831869,1.118744472,0.001824468951,23.41163591,0.004826256402,14.35193731,50526.55137,-12.6995342,4.748658549,-0.00792688853,-0.0007140183001
4,"LOE.12002,LOEN.52002",bot,-2.6,-1.6,2,0.005,26.7495,0.07961483,51.34423829,1.110123254,0.001823521068,23.41771991,0.002975074564,9.011026688,27884.90781,-11.23559251,2.328711871,-0.00923896656,-0.0007025563184
5,"LOE.12002,LOEN.52002",bot,-2.8,-1.4,2,0.005,26.7495,0.0844196817,51.7100487,1.09588578,0.00182204898,23.42717795,0.0003272510156,2.714251777,6045.518498,-7.618220976,-2.686530983,-0.01183472324,-0.0006848457821
6,"LOE.12002,LOEN.52002",bot,-2.9,-1.3,2,0.005,26.7495,0.08694882908,51.84992253,1.090416847,0.001821602058,23.43005165,-0.0004618998687,1.2481912,2209.523488,-5.469730995,-5.181005719,-0.01310535474,-0.0006783085281
7,"LOE.12002,LOEN.52002",bot,-3.0,-1.2,2,0.005,26.7495,0.08952660521,51.95126634,1.085932915,0.001821377275,23.4314974,-0.0009428677269,0.4941573723,611.0052429,-3.109604803,-7.618836367,-0.01434916457,-0.0006731344079
8,"LOE.12002,LOEN.52002",bot,-3.1,-1.1,2,0.005,26.7495,0.09212786491,52.00583766,1.082228488,0.001821379062,23.4314859,-0.00117618021,0.1800637705,92.36572012,-0.5566691708,-10.04894103,-0.01555986799,-0.000669202192
9,"LOE.12002,LOEN.52002",bot,-3.2,-1.0,2,0.005,26.7495,0.0947295582,52.00558537,1.079033916,0.001821598864,23.43007219,-0.001228977418,0.09674869163,-10.51894355,2.165348503,-1762.556663,-0.01673154634,-0.0006664056321
1,"LOE.12002,LOEN.52002",bot,-2.1,-2.1,2,0.005,26.7495,0.0710515174,49.99463789,1.154509536,0.001828393003,23.38649968,0.01379640955,48.09685239,240297.7583,-16.52084398,12.58230486,-0.002735861173,-0.0007800754628
1,"LOE.12002,LOEN.52002",bot,-2.0,-2.2,2,0.005,26.7495,0.07005367864,49.59740301,1.160816266,0.001829128109,23.38179982,0.01571902079,56.78122497,298294.3558,-17.07182273,13.85273563,-0.001485699509,-0.000801917004
1,"LOE.12002,LOEN.52002",bot,-1.9,-2.3,2,0.005,26.7495,0.06930579492,49.13375155,1.164931343,0.00182967775,23.37828757,0.01722022995,63.92342203,348280.6876,-17.50468782,14.78813434,-0.0002680099764,-0.0008258291972
1,"LOE.12002,LOEN.52002",bot,-1.8,-2.4,2,0.005,26.7495,0.06881198563,48.59974772,1.166542029,0.001830018096,23.37611354,0.01819606553,68.79637111,383650.5234,-17.83426292,15.37578138,0.0009110174912,-0.0008516996904
