,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,"LOE.12002,LOEN.52002",top,-2.2,-2.0,2,0.005,26.7495,0.07229058285,45.49052678,1.456041502,0.00182750863,23.39215763,0.01159017132,38.73426553,181425.0868,-15.83126031,10.99929497,-0.004499386958,0.001015485163
1,"LOE.12002,LOEN.52002",top,-2.3,-1.9,2,0.005,26.7495,0.07378319625,45.33209606,1.44737014,0.001826522178,23.39847349,0.009257388551,29.55224245,127849.5999,-14.97960157,9.136454967,-0.003616030339,0.001009693801
2,"LOE.12002,LOEN.52002",top,-2.4,-1.8,2,0.005,26.7495,0.0755414857,45.17813082,1.441365956,0.001825489064,23.4050936,0.00695604757,21.26635377,83673.90664,-13.94249042,7.036197488,-0.002780959877,0.001007773986
3,"LOE.12002,LOEN.52002",top,-2.5,-1.7,2,0.005,26.7495,0.07748165007,45.05084128,1.438776423,0.001824468951,23.41163591,0.004826256402,14.35193731,50526.55137,-12.69953421,4.74865855,-0.001999210393,0.001009590487
4,"LOE.12002,LOEN.52002",top,-2.6,-1.6,2,0.005,26.7495,0.07961483,44.97152937,1.440304471,0.001823521068,23.41771991,0.002975074564,9.011026689,27884.90781,-11.23559251,2.328711871,-0.001274850805,0.001014946609
5,"LOE.12002,LOEN.52002",top,-2.8,-1.4,2,0.005,26.7495,0.0844196817,45.0323194,1.458052921,0.00182204898,23.42717795,0.0003272510157,2.714251777,6045.518499,-7.618220976,-2.686530983,-1.007478639e-05,0.001035260362
6,"LOE.12002,LOEN.52002",top,-2.9,-1.3,2,0.005,26.7495,0.08694882908,45.20461823,1.475147294,0.001821602058,23.43005165,-0.0004618998686,1.2481912,2209.523488,-5.469730996,-5.181005718,0.0005265669315,0.001049631029
7,"LOE.12002,LOEN.52002",top,-3.0,-1.2,2,0.005,26.7495,0.08952660521,45.48937442,1.498096968,0.001821377275,23.4314974,-0.0009428677269,0.4941573724,611.005243,-3.109604803,-7.618836367,0.0009982546578,0.001066387929
8,"LOE.12002,LOEN.52002",top,-3.1,-1.1,2,0.005,26.7495,0.09212786491,45.89734578,1.527032934,0.001821379062,23.4314859,-0.00117618021,0.1800637705,92.36572014,-0.556669171,-10.04894103,0.001405227919,0.001085202226
9,"LOE.12002,LOEN.52002",top,-3.2,-1.0,2,0.005,26.7495,0.0947295582,46.43715378,1.561976876,0.001821598864,23.43007219,-0.001228977418,0.09674869163,-10.51894355,2.165348503,-48.15841121,0.001748624888,0.001105743663
1,"LOE.12002,LOEN.52002",top,-2.1,-2.1,2,0.005,26.7495,0.0710515174,45.63205977,1.466652309,0.001828393003,23.38649968,0.01379640955,48.0968524,240297.7583,-16.52084398,12.58230486,-0.005425038629,0.001025211833
1,"LOE.12002,LOEN.52002",top,-2.0,-2.2,2,0.005,26.7495,0.07005367864,45.73856812,1.478568546,0.001829128109,23.38179982,0.01571902079,56.78122497,298294.3558,-17.07182273,13.85273563,-0.006386181122,0.001038861984
1,"LOE.12002,LOEN.52002",top,-1.9,-2.3,2,0.005,26.7495,0.06930579492,45.79764282,1.491314775,0.00182967775,23.37828757,0.01722022995,63.92342204,348280.6876,-17.50468782,14.78813434,-0.00737551835,0.00105635224
1,"LOE.12002,LOEN.52002",top,-1.8,-2.4,2,0.005,26.7495,0.06881198563,45.80437739,1.504608361,0.001830018096,23.37611354,0.01819606553,68.79637112,383650.5235,-17.83426292,15.37578138,-0.008385745947,0.001077540042
