,name,island,k31,k32,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,0.0,-2.0,26.7495,0.01828896661,83.03259418,2.082556983,0.00186079869,23.18196812,0.02809096734,24.49999793,29361.59729,-17.4623808,41.35322243,-0.004840773094,0.0003452446075
1,"LOE.12002,LOEN.52002",top,0.0,-2.1,26.7495,0.01876982896,79.47725046,2.019057776,0.00186204178,23.17422874,0.03070891111,28.99079953,37881.79134,-18.35672081,42.79122324,-0.004972788256,0.0003544711169
1,"LOE.12002,LOEN.52002",top,0.0,-2.2,26.7495,0.01929001478,76.11764936,1.960697785,0.00186340504,23.1657501,0.033756275,34.62766268,49511.66667,-19.30050304,44.37440833,-0.005115748586,0.000364458132
1,"LOE.12002,LOEN.52002",top,0.0,-2.3,26.7495,0.01985507751,72.93317077,1.907157347,0.001864905703,23.15642765,0.03733272624,41.79356313,65660.12036,-20.30178014,46.12489313,-0.005271228558,0.0003753140383
1,"LOE.12002,LOEN.52002",top,0.0,-2.4,26.7495,0.02047170638,69.90682813,1.858219929,0.00186656413,23.14613822,0.04156794676,51.03182462,88512.41262,-21.3701294,48.06920983,-0.005441126817,0.0003871695058
1,"LOE.12002,LOEN.52002",top,-2.0,0.0,26.7495,0.01989552733,75.34613541,2.175290892,0.001864980066,23.15596598,0.03739573207,41.81187708,65562.7953,-20.46089787,46.21694467,0.002718262764,0.000165240752
1,"LOE.12002,LOEN.52002",top,-2.1,0.0,26.7495,0.02060997372,71.18177292,2.042174463,0.001866908353,23.14400426,0.04234240158,52.66331695,92567.35084,-21.69824774,48.47823777,0.002800547314,0.0001716273524
1,"LOE.12002,LOEN.52002",top,-2.2,0.0,26.7495,0.02140513583,67.17601939,1.913701357,0.00186908354,23.13053317,0.04843086911,67.50361919,133991.9539,-23.04297101,51.04658869,0.002891073526,0.0001787675494
1,"LOE.12002,LOEN.52002",top,-2.3,0.0,26.7495,0.02229698465,63.30387665,1.789100606,0.001871550798,23.11528169,0.0560341339,88.27672044,199603.664,-24.51774067,53.98378333,0.002991225098,0.0001868173617
1,"LOE.12002,LOEN.52002",top,-2.4,0.0,26.7495,0.02330632301,59.54343741,1.667711122,0.001874364314,23.09792657,0.06568198467,118.1244022,307366.8568,-26.15175287,57.3668441,0.00310271978,0.000195979614
1,"LOE.12002,LOEN.52002",top,-2.6,-2.4,26.7495,0.08452954332,51.14533967,1.629635676,0.001825517271,23.40491277,0.01424872533,35.19205539,129006.2975,-22.31641524,22.50555359,-0.006101708846,0.001211619495
1,"LOE.12002,LOEN.52002",top,-2.7,-2.3,26.7495,0.08561288109,51.07352911,1.629544258,0.001824515286,23.41133863,0.01239995993,29.31437908,101300.8387,-21.62362834,21.16004258,-0.005233907434,0.00120119826
1,"LOE.12002,LOEN.52002",top,-2.8,-2.2,26.7495,0.08682856359,50.99465409,1.631385838,0.001823442876,23.418222,0.0105131068,23.70313658,76536.11548,-20.81003571,19.65514816,-0.004416817799,0.001193736159
1,"LOE.12002,LOEN.52002",top,-2.9,-2.1,26.7495,0.08818073689,50.92666703,1.635682628,0.001822339283,23.42531186,0.008667990211,18.60879724,55662.63586,-19.86386955,18.01927679,-0.003654991483,0.001189169107
1,"LOE.12002,LOEN.52002",top,-3.0,-2.0,26.7495,0.08978663921,50.88793137,1.642940096,0.00182124291,23.43236172,0.006930923344,14.18788111,38981.40336,-18.7757285,16.28237693,-0.002951673251,0.001187384477
1,"LOE.12002,LOEN.52002",top,-3.1,-1.9,26.7495,0.09147147346,50.89622475,1.653619336,0.001820189148,23.43914359,0.005351452018,10.50757307,26291.81195,-17.53943076,14.4746476,-0.002308846214,0.001188228759
1,"LOE.12002,LOEN.52002",top,-3.2,-1.8,26.7495,0.09321649793,50.96802162,1.668117705,0.00181920861,23.44545949,0.003961320642,7.56119279,17077.21142,-16.15248975,12.62533859,-0.001727334436,0.001191516154
1,"LOE.12002,LOEN.52002",top,-3.3,-1.7,26.7495,0.0950057905,51.1180384,1.68675791,0.001818325894,23.45114966,0.002775350586,5.288951897,10677.96176,-14.61625216,10.76172654,-0.0012069334,0.00119703716
