,name,island,k31,k32,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",bot,0.0,-2.0,26.747,0.04422698835,92.62522438,2.225084267,0.001850276856,23.24778828,0.02068364783,16.51559137,17833.29517,-15.79322162,33.91550912,0.009552624425,-0.0007703039931
1,"LOE.12002,LOEN.52002",bot,0.0,-2.1,26.747,0.0452929623,88.73039056,2.142887529,0.001850434136,23.24680027,0.02185393466,18.64493645,21686.64798,-16.50667261,34.50662339,0.009725708879,-0.0007873191423
1,"LOE.12002,LOEN.52002",bot,0.0,-2.2,26.747,0.04643133494,85.0505,2.065193407,0.001850550417,23.24606989,0.02310173288,21.09287942,26461.28876,-17.24276864,35.10286539,0.009906721119,-0.0008053925416
1,"LOE.12002,LOEN.52002",bot,0.0,-2.3,26.747,0.04764942475,81.56378626,1.991455054,0.00185061257,23.24567952,0.02442281371,23.90119415,32380.61283,-18.00342383,35.69660626,0.01009600941,-0.0008246199855
1,"LOE.12002,LOEN.52002",bot,0.0,-2.4,26.747,0.04895535005,78.25275541,1.921204705,0.001850604156,23.24573237,0.02580721028,27.10933283,39708.78682,-18.7901866,36.27724247,0.01029385874,-0.0008451053193
1,"LOE.12002,LOEN.52002",bot,-2.0,0.0,26.747,0.04766844357,81.21460915,2.221966686,0.001850660426,23.24537897,0.02447933857,23.94568448,32415.54292,-18.1716612,35.76874364,-0.009279766595,-0.0003134989514
1,"LOE.12002,LOEN.52002",bot,-2.1,0.0,26.747,0.04918287062,77.72705423,2.100654896,0.001850644696,23.24547776,0.02608175193,27.68268476,41001.33486,-19.08051314,36.43664021,-0.00962646319,-0.0003218380525
1,"LOE.12002,LOEN.52002",bot,-2.2,0.0,26.747,0.0508281903,74.4872474,1.985941999,0.001850503528,23.2463644,0.02773886002,31.99536359,51915.74958,-20.02568144,37.06422112,-0.01000664963,-0.0003307882361
1,"LOE.12002,LOEN.52002",bot,-2.3,0.0,26.747,0.05261978871,71.48654157,1.877512573,0.001850196779,23.24829136,0.02939910467,36.88920149,65622.83643,-21.00632587,37.61961365,-0.01042461865,-0.0003404099676
1,"LOE.12002,LOEN.52002",bot,-2.4,0.0,26.747,0.05457431034,68.72193142,1.775255798,0.001849674871,23.25157102,0.03097944319,42.29229232,82468.74788,-22.01794212,38.05917016,-0.01088510368,-0.0003507657647
1,"LOE.12002,LOEN.52002",bot,-2.6,-2.4,26.747,0.1002717576,71.11681614,1.707568411,0.001816602656,23.46226996,0.00143184203,2.313051602,2767.20085,-8.557555191,8.072691257,-0.008036521661,-0.000980088239
1,"LOE.12002,LOEN.52002",bot,-2.7,-2.3,26.747,0.1010581002,70.2851135,1.682690169,0.00181630865,23.46416881,0.001169284565,2.039899559,2340.98865,-8.188531408,7.456125493,-0.00941290741,-0.0009520507696
