,name,island,k31,k32,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,0.0,-2.0,26.747,0.04422698835,81.68760556,2.068355876,0.001850276856,23.24778828,0.02068364783,16.51559138,17833.29517,-15.79322162,33.91550912,-0.0122817135,0.0008536163873
1,"LOE.12002,LOEN.52002",top,0.0,-2.1,26.747,0.0452929623,78.46917672,2.012866425,0.001850434136,23.24680027,0.02185393466,18.64493646,21686.64799,-16.50667261,34.50662339,-0.01259214341,0.0008747852858
1,"LOE.12002,LOEN.52002",top,0.0,-2.2,26.747,0.04643133494,75.45947577,1.9625194,0.001850550417,23.24606989,0.02310173288,21.09287943,26461.28876,-17.24276864,35.10286539,-0.01292390524,0.0008974136153
1,"LOE.12002,LOEN.52002",top,0.0,-2.3,26.747,0.04764942475,72.64130978,1.916988135,0.00185061257,23.24567952,0.02442281371,23.90119415,32380.61284,-18.00342383,35.69660626,-0.01327919615,0.0009216518007
1,"LOE.12002,LOEN.52002",top,0.0,-2.4,26.747,0.04895535005,70.00126554,1.876024163,0.001850604156,23.24573237,0.02580721028,27.10933284,39708.78683,-18.7901866,36.27724247,-0.01366045433,0.0009476671416
1,"LOE.12002,LOEN.52002",top,-2.0,0.0,26.747,0.04766844357,78.52912163,2.35024867,0.001850660426,23.24537897,0.02447933857,23.94568448,32415.54292,-18.1716612,35.76874364,0.005172861495,0.0004349607352
1,"LOE.12002,LOEN.52002",top,-2.1,0.0,26.747,0.04918287062,74.69687549,2.234594879,0.001850644696,23.24547776,0.02608175193,27.68268476,41001.33487,-19.08051314,36.43664021,0.005251695368,0.0004511961397
1,"LOE.12002,LOEN.52002",top,-2.2,0.0,26.747,0.0508281903,71.09131245,2.126703614,0.001850503528,23.2463644,0.02773886002,31.99536359,51915.74958,-20.02568144,37.06422112,0.005331003555,0.0004690111427
1,"LOE.12002,LOEN.52002",top,-2.3,0.0,26.747,0.05261978871,67.7031826,2.026468418,0.001850196779,23.24829136,0.02939910467,36.88920149,65622.83644,-21.00632587,37.61961365,0.005409639052,0.0004886244879
1,"LOE.12002,LOEN.52002",top,-2.4,0.0,26.747,0.05457431034,64.53038563,1.934040794,0.001849674871,23.25157102,0.03097944319,42.29229232,82468.7479,-22.01794212,38.05917016,0.005485992063,0.0005102827265
1,"LOE.12002,LOEN.52002",top,-2.6,-2.4,26.747,0.1002717576,64.34310188,2.011661933,0.001816602656,23.46226996,0.00143184203,2.313051602,2767.20085,-8.557555191,8.072691257,-0.008061200114,0.001460335017
1,"LOE.12002,LOEN.52002",top,-2.7,-2.3,26.747,0.1010581002,64.00851691,2.015149358,0.00181630865,23.46416881,0.001169284565,2.039899559,2340.98865,-8.188531408,7.456125493,-0.007035665145,0.001441443377
1,"LOE.12002,LOEN.52002",top,-2.8,-2.2,26.747,0.1019358925,63.63855878,2.019274303,0.001816000948,23.4661566,0.0008888467044,1.756496503,1916.510052,-7.713706364,6.744688747,-0.006085605117,0.001425650487
1,"LOE.12002,LOEN.52002",top,-2.9,-2.1,26.747,0.1029523314,63.27227973,2.025001344,0.001815694217,23.46813862,0.0006027371162,1.477076635,1516.978444,-7.121872961,5.948966001,-0.00521545272,0.001412962969
1,"LOE.12002,LOEN.52002",top,-3.0,-2.0,26.747,0.1041641564,62.94536091,2.033221515,0.001815402627,23.47002327,0.0003223831654,1.213963134,1160.082265,-6.404421822,5.080893361,-0.004426928494,0.001403305532
1,"LOE.12002,LOEN.52002",top,-3.1,-1.9,26.747,0.1054260337,62.68874062,2.044713346,0.001815139039,23.47172732,5.757403831e-05,0.9765545979,856.7683836,-5.555631197,4.15321791,-0.003719528983,0.001396537444
1,"LOE.12002,LOEN.52002",top,-3.2,-1.8,26.747,0.1067282891,62.52820799,2.06012801,0.001814914375,23.47318004,-0.0001841438653,0.7707883824,611.1655546,-4.572707592,3.178969638,-0.003091045311,0.001392469622
1,"LOE.12002,LOEN.52002",top,-3.3,-1.7,26.747,0.1080616814,62.48464963,2.079992154,0.001814737192,23.47432592,-0.0003977749736,0.5991137004,421.5087273,-3.455651643,2.170974294,-0.002538038705,0.001390880293
1,"LOE.12002,LOEN.52002",top,-3.4,-1.6,26.747,0.1094174869,62.57467643,2.104722336,0.001814613471,23.47512615,-0.000580890353,0.4609065019,281.7298773,-2.206994016,1.14142309,-0.002056238554,0.001391528243
1,"LOE.12002,LOEN.52002",top,-3.9,-1.1,26.747,0.116271932,65.4178512,2.311218301,0.001814835387,23.47369085,-0.001091622016,0.1317453366,30.43474883,5.799269475,-3.986888225,-0.0005412377341,0.001419671195
1,"LOE.12002,LOEN.52002",top,-4.0,-1.0,26.747,0.1176157277,66.52727811,2.370812922,0.001815028536,23.47244182,-0.001138723301,0.1053390763,20.34886421,7.700746573,-4.961556326,-0.0003814769071,0.001428651238
