,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.05,0.08883832254,54.69586417,1.684691642,0.002045206704,22.11217161,-0.1442791978,510.2936601,-3058541.136,62.59443186,-128.7123755,-0.01003645158,0.001374120242
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.1,0.08902195131,54.73071861,1.686619886,0.002044897325,22.11384425,-0.1432378068,505.0320653,-3018029.918,62.57647669,-125.4264311,-0.01007026196,0.001376953282
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.150000000000002,0.08920569588,54.76598189,1.688557731,0.002044587986,22.11551707,-0.1421966378,499.7815475,-2977702.106,62.55779825,-123.9721355,-0.0101041325,0.001379788508
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.200000000000003,0.08938954707,54.80165042,1.690505064,0.002044278725,22.11718983,-0.1411558765,494.543331,-2937568.369,62.53839974,-120.9167288,-0.01013806156,0.001382625775
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.250000000000004,0.08957349921,54.83772124,1.69246181,0.002043969578,22.11886237,-0.1401156871,489.3185186,-2897638.324,62.51828415,-118.7018831,-0.01017204815,0.00138546499
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.300000000000004,0.08975754715,54.87419145,1.694427897,0.002043660576,22.12053449,-0.1390762288,484.1081761,-2857921.181,62.49745458,-116.4504138,-0.01020609136,0.00138830607
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.350000000000005,0.08994168574,54.91105814,1.696403255,0.002043351754,22.12220602,-0.1380376587,478.9133468,-2818425.869,62.47591425,-114.1357657,-0.01024019028,0.001391148932
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.400000000000006,0.09012590938,54.94831825,1.698387806,0.002043043143,22.12387679,-0.1370001346,473.7350653,-2779161.127,62.45366656,-112.0435052,-0.0102743439,0.001393993483
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.450000000000006,0.09031020915,54.98596804,1.700381437,0.002042734782,22.12554658,-0.1359638308,468.5744349,-2740136.102,62.43071547,-109.1807401,-0.01030855061,0.001396839582
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.500000000000007,1.15417875e-14,63.85582941,1.741579726,0.001853974296,23.2245948,0.001889050573,-0.06961967379,0.6428486928,-12.00000002,-12.00000002,3.509216635e-15,-4.670246371e-17
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.550000000000008,0.09067908475,55.0624388,1.704396385,0.002042118827,22.12888314,-0.1338951033,458.3081102,-2662822.897,62.38270871,-104.4859012,-0.01037713226,0.001402537141
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.60000000000001,0.09086360116,55.10124352,1.706417019,0.002041811377,22.13054913,-0.1328632506,453.2056666,-2624560.302,62.35766695,-100.1233294,-0.01041149621,0.001405387675
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.65000000000001,0.09104818583,55.14042843,1.708446574,0.002041504283,22.13221356,-0.1318331382,448.1242874,-2586565.335,62.3319352,-94.98288681,-0.01044591186,0.001408239616
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.70000000000001,0.09123282972,55.17998965,1.710484932,0.002041197583,22.13387624,-0.13080493,443.0649643,-2548845.742,62.30551802,-86.04241052,-0.01048037757,0.001411092821
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.75000000000001,0.09141752699,55.21992392,1.712532009,0.002040891308,22.13553699,-0.12977877,438.0285776,-2511408.32,62.27841968,-85.75556281,-0.01051489223,0.001413947194
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.80000000000001,0.09160227188,55.26022798,1.714587722,0.002040585489,22.13719563,-0.1287547992,433.01598,-2474259.554,62.25064454,-161.320263,-0.01054945479,0.001416802643
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.850000000000012,0.09178705765,55.30089831,1.716651975,0.002040280161,22.13885199,-0.1277331619,428.0280275,-2437405.842,62.22219724,-113.8316547,-0.01058406398,0.001419659057
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.900000000000013,0.09197187346,55.34193046,1.718724626,0.002039975361,22.14050585,-0.1267140223,423.0656608,-2400854.098,62.19308322,-103.8787243,-0.01061871777,0.001422516266
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3,26.7485,26.950000000000014,0.09215668359,55.38331432,1.720805249,0.00203967117,22.14215677,-0.1256976786,418.130456,-2364615.775,62.16331216,-97.91251631,-0.01065340944,0.00142537371
