,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",bot,0.0,-2.0,3,3,26.748,0.03548092166,46.35853813,1.448585516,0.001851734479,23.23863653,0.02085013877,16.54826524,17682.08046,-15.4319959,38.82401595,-0.02623498812,0.0005724203321
1,"LOE.12002,LOEN.52002",bot,0.0,-2.1,3,3,26.748,0.03632701891,47.72951972,1.455023727,0.001852163893,23.2359425,0.02222274332,18.8731982,21762.11591,-16.15060579,39.60635176,-0.02685144355,0.0005854901506
1,"LOE.12002,LOEN.52002",bot,0.0,-2.2,3,3,26.748,0.03723243489,49.17746678,1.463925911,0.001852595878,23.23323329,0.02373655272,21.61957442,26952.64655,-16.8971913,40.42903531,-0.02751042944,0.0005994348977
1,"LOE.12002,LOEN.52002",bot,0.0,-2.3,3,3,26.748,0.03820382363,50.70535296,1.47518479,0.00185302477,23.23054441,0.02540650158,24.87617724,33599.8064,-17.67532788,41.29176698,-0.02821661301,0.000614346296
1,"LOE.12002,LOEN.52002",bot,0.0,-2.4,3,3,26.748,0.03924879924,52.31609177,1.488701328,0.001853442637,23.22792555,0.02724738509,28.75032985,42165.91094,-18.48885368,42.19279179,-0.02897531466,0.0006303280616
1,"LOE.12002,LOEN.52002",bot,-2.0,0.0,3,3,26.748,0.03821269338,81.32869857,2.244702943,0.00185307532,23.23022755,0.02545901685,24.90938164,33604.92358,-17.83203397,41.36571604,-0.007166843124,-0.0002597421208
1,"LOE.12002,LOEN.52002",bot,-2.1,0.0,3,3,26.748,0.03942332392,77.65177911,2.118471115,0.00185355686,23.22720984,0.02759795931,29.43451303,43664.57553,-18.77246738,42.40844286,-0.007428437309,-0.0002668911084
1,"LOE.12002,LOEN.52002",bot,-2.2,0.0,3,3,26.748,0.04074514582,74.20098332,1.99808175,0.001854006608,23.22439242,0.02998385311,34.97741376,57233.87406,-19.76650741,43.49560942,-0.007716656081,-0.000274616153
1,"LOE.12002,LOEN.52002",bot,-2.3,0.0,3,3,26.748,0.04219394308,70.96409768,1.883033767,0.001854399815,23.22193004,0.0326288426,41.77163383,75635.58839,-20.82064807,44.61488405,-0.00803556319,-0.0002829900644
1,"LOE.12002,LOEN.52002",bot,-2.4,0.0,3,3,26.748,0.04378810023,67.93471742,1.773002022,0.001854701343,23.22004231,0.03552847412,50.07476627,100640.775,-21.94115943,45.74484627,-0.008389970808,-0.0002920951753
1,"LOE.12002,LOEN.52002",bot,-2.6,2.4,3,3,26.748,0.03307047994,66.47593061,1.763287339,0.001850704373,23.24510297,0.01687770236,8.82900769,3389.681952,-22.22609099,38.67836294,-0.008753858872,-0.0001429628433
1,"LOE.12002,LOEN.52002",bot,-2.7,-2.3,3,3,26.748,0.09188801019,65.78422859,1.558323282,0.001819473498,23.44375278,0.003399140464,5.464116415,9713.994964,-12.21171896,15.81947857,-0.0079584609,-0.0008838277407
1,"LOE.12002,LOEN.52002",bot,-2.8,-2.2,3,3,26.748,0.09282961982,65.16633392,1.536716591,0.001818990198,23.44686703,0.002875371374,4.675491581,7928.128393,-11.7426239,14.98079021,-0.009211818118,-0.0008610015403
1,"LOE.12002,LOEN.52002",bot,-2.9,-2.1,3,3,26.748,0.09390117532,64.45911134,1.512661789,0.001818490694,23.45008701,0.002337615874,3.900275805,6257.713694,-11.16381945,14.04233725,-0.01043092566,-0.0008401929884
1,"LOE.12002,LOEN.52002",bot,-3.0,-2.0,3,3,26.748,0.09519701807,63.68866213,1.486978397,0.001817993858,23.45329111,0.001806069682,3.170500135,4770.733894,-10.46331572,13.01696351,-0.01161078765,-0.0008214202285
1,"LOE.12002,LOEN.52002",bot,-3.1,-1.9,3,3,26.748,0.09655632382,62.87620297,1.46036041,0.001817517836,23.45636221,0.001298820819,2.511032399,3508.498159,-9.631793489,11.91893781,-0.01274795187,-0.0008046543605
1,"LOE.12002,LOEN.52002",bot,-3.2,-1.8,3,3,26.748,0.09796837212,62.03759992,1.433354668,0.001817079111,23.45919375,0.0008306845392,1.938197028,2485.872995,-8.663008016,10.76340488,-0.01384018303,-0.0007898311388
1,"LOE.12002,LOEN.52002",bot,-3.3,-1.7,3,3,26.748,0.09942261935,61.18359339,1.406358961,0.001816691744,23.46169468,0.0004124323094,1.459529015,1695.011448,-7.553963295,9.565816788,-0.01488614725,-0.0007768621414
1,"LOE.12002,LOEN.52002",bot,-3.4,-1.6,3,3,26.748,0.1009088489,60.32043097,1.379633041,0.001816366824,23.46379305,5.047312127e-05,1.074573034,1111.385111,-6.304894792,8.341379937,-0.01588514546,-0.0007656443775
1,"LOE.12002,LOEN.52002",bot,-3.9,-1.1,3,3,26.748,0.1085013627,55.87238591,1.251897569,0.00181583962,23.467199,-0.0009527222655,0.2046367289,80.09988427,1.841537178,2.273671027,-0.02017477264,-0.000732006082
1,"LOE.12002,LOEN.52002",bot,-4.0,-1.0,3,3,26.748,0.1099988075,54.93238815,1.226945516,0.001815945118,23.46651732,-0.001033183169,0.1520971486,45.05021897,3.785457197,1.13951083,-0.02089405554,-0.0007290542284
1,"LOE.12002,LOEN.52002",bot,-2.1,-1.3,3,3,26.748,0.05281901574,70.70532945,1.815912669,0.001852558003,23.23347079,0.04593430837,100.3545883,337616.5788,-21.53686937,46.69472673,-0.004946914124,-0.0005018300325
1,"LOE.12002,LOEN.52002",bot,-0.9,-1.2,3,3,26.748,0.03505203512,131.5123521,3.411644231,0.001851413919,23.24064826,0.02016724109,15.96262514,17685.41898,-11.32141552,37.78665816,0.001514538067,-0.0004654151302
