,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-0.4,-0.4,4,0.005,26.2495,0.0200448043,118.7316707,3.562633664,0.001965598537,22.55550681,0.02437037174,9.575733136,5722.311705,-16.45946184,51.43620577,0.003506568358,0.000143801057
1,"LOE.12002,LOEN.52002",top,-0.7,-0.4,4,0.005,26.2495,0.02256657255,90.06623615,2.648824362,0.001979473909,22.47631495,0.03753503047,21.37444818,18509.68756,-21.86708698,63.33885343,0.003935321513,0.0001621387179
1,"LOE.12002,LOEN.52002",top,-1.0,-0.4,4,0.005,26.2495,0.02634370001,69.11166233,1.965602498,0.002002655647,22.34584903,0.06815368553,62.8301901,88211.34664,-28.89044651,83.38217644,0.004529109523,0.0001910722741
1,"LOE.12002,LOEN.52002",top,-1.3,-0.4,4,0.005,26.2495,0.03289850556,51.50134796,1.375716151,0.00204817593,22.09613787,0.1684230359,312.6399333,892542.8642,-39.88666124,123.3870196,0.00547991557,0.0002436339563
1,"LOE.12002,LOEN.52002",top,-1.6,-0.4,4,0.005,26.2495,0.04817940559,34.97866256,0.8198149398,0.002157131833,21.53087383,0.7720395112,4655.287194,44646077.59,-64.4930934,224.5951461,0.007373659867,0.0003756174261
1,"LOE.12002,LOEN.52002",top,-1.9,-0.4,4,0.005,26.2495,0.09377357787,28.29399843,0.8087448999,0.002096982401,21.83748437,0.8619459676,8143.39814,125817795.2,-102.6465686,219.3622138,0.01048001484,0.0008457032939
1,"LOE.12002,LOEN.52002",top,-0.4,-0.7,4,0.005,26.2495,0.02222000107,92.90698399,2.740649309,0.001977487175,22.48760283,0.03542595245,19.22091995,15866.80528,-21.17233268,61.64204598,0.003854640676,0.0001602923375
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,4,0.005,26.2495,0.02580064133,71.30655983,2.03985144,0.001999160085,22.36537652,0.06273922709,54.34398766,72093.2102,-27.9263772,80.36020517,0.004418843695,0.0001876792536
1,"LOE.12002,LOEN.52002",top,-1.0,-0.7,4,0.005,26.2495,0.03187693091,53.39704552,1.444480174,0.002040757857,22.13626073,0.1474721122,249.0422659,652505.9257,-38.21418752,116.8155329,0.005297775859,0.0002364828247
1,"LOE.12002,LOEN.52002",top,-1.3,-0.7,4,0.005,26.2495,0.04540283751,36.62482443,0.8858163962,0.002139583508,21.61898893,0.6167311332,3130.979179,25371871.72,-59.89453231,207.4130211,0.006968763968,0.0003534916458
