,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-0.4,-0.4,5,0.005,26.747,0.03507750847,16.23696069,0.5960992084,0.001872577838,23.10894188,0.02237755888,9.078750697,5073.690487,-9.834460569,33.7328261,0.0272503165,-0.0007388997167
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,5,0.005,26.747,0.03850407997,22.98585012,0.7544578451,0.00187806527,23.07515671,0.03078503109,18.01365221,15363.06451,-14.15789771,37.90248647,0.02983170368,-0.0008076955708
1,"LOE.12002,LOEN.52002",top,-1.1,-0.7,5,0.005,26.747,0.04188447273,29.56338592,0.7570413854,0.001883085564,23.04437708,0.04072119293,32.11414032,37881.0026,-18.52341094,42.0058702,0.03234902225,-0.000922833021
1,"LOE.12002,LOEN.52002",top,-1.5,-0.7,5,0.005,26.747,0.04633577882,100.4114254,2.925332082,0.00188883795,23.00925992,0.0562708083,61.85668712,103535.5765,-23.87152468,47.18683428,0.001508902203,0.0005271734958
1,"LOE.12002,LOEN.52002",top,-1.9,-0.7,5,0.005,26.747,0.05243871427,80.08885069,2.367523356,0.001894053425,22.97755888,0.07943282006,124.8977005,303486.2332,-30.31637648,53.02468288,0.002321169136,0.0005780992436
1,"LOE.12002,LOEN.52002",top,-2.3,-0.7,5,0.005,26.747,0.06086145342,65.55750721,1.97341575,0.001894668941,22.97382625,0.1060976186,235.806953,820924.3318,-38.08878891,57.45684548,0.002841005413,0.0006658504236
1,"LOE.12002,LOEN.52002",top,-2.7,-0.7,5,0.005,26.747,0.0722646675,56.67257557,1.762840567,0.001882512861,23.04788212,0.1092713048,301.0865503,1312671.114,-45.73250706,54.90053745,0.003017797157,0.0007995218801
1,"LOE.12002,LOEN.52002",top,-0.7,-1.1,5,0.005,26.747,0.04120116945,29.90657977,1.131219658,0.001882098733,23.05041765,0.0387083394,29.04514172,32502.69689,-17.1038914,41.12407893,0.03152837607,-0.0008020213274
1,"LOE.12002,LOEN.52002",top,-1.1,-1.1,5,0.005,26.747,0.03969740035,1214.071405,39.53661976,0.001879913641,23.06380993,0.066061284,-5.180038153e+28,-2.013461917e+59,-17.14416235,37.68123566,0.02004963674,-0.0001925816687
1,"LOE.12002,LOEN.52002",top,-1.5,-1.1,5,0.005,26.747,0.05005836969,93.97657733,2.68746084,0.001892100565,22.98941353,0.07021099129,98.91730415,216798.3984,-25.42603341,50.31875748,-0.001038054596,0.0006452841091
1,"LOE.12002,LOEN.52002",top,-1.9,-1.1,5,0.005,26.747,0.05712957799,76.52005287,2.248534159,0.001894825668,22.9728761,0.09508066942,187.8775523,585360.3223,-31.98105983,55.10425066,0.0001094698894,0.0007002283872
1,"LOE.12002,LOEN.52002",top,-2.3,-1.1,5,0.005,26.747,0.06685831666,64.24500671,1.943376694,0.001889109921,23.00760357,0.1107724131,285.1698729,1168579.196,-39.39130165,55.93538542,0.0007741397562,0.0008002235007
1,"LOE.12002,LOEN.52002",top,-2.7,-1.1,5,0.005,26.747,0.07926615433,57.91358897,1.82004517,0.001869238683,23.12957326,0.08791641541,237.2119629,1022046.498,-44.34999974,47.60303878,0.0009576347463,0.0009454556489
1,"LOE.12002,LOEN.52002",top,-0.7,-1.5,5,0.005,26.747,0.04471062883,36.9494513,1.332455507,0.001886823448,23.02153977,0.05055585532,50.09636138,75277.81105,-21.20818861,45.22152549,0.03373835176,-0.000824749682
1,"LOE.12002,LOEN.52002",top,-1.1,-1.5,5,0.005,26.747,0.04894965428,97.34597914,2.645701975,0.001891131599,22.99530236,0.06630382318,88.34932693,182778.1141,-23.7553859,49.2034275,-0.005770017887,0.0007596873054
1,"LOE.12002,LOEN.52002",top,-1.5,-1.5,5,0.005,26.747,0.05493400011,84.31107219,2.390880677,0.001894219237,22.97655317,0.08778971427,160.1840952,461592.7301,-28.27749923,53.40184652,-0.003917467115,0.0007852806036
1,"LOE.12002,LOEN.52002",top,-1.9,-1.5,5,0.005,26.747,0.06316957947,71.85599231,2.113120645,0.001891844961,22.9909665,0.1068085516,256.5699681,984656.0807,-34.31469984,55.42632152,-0.002609508838,0.0008515759725
1,"LOE.12002,LOEN.52002",top,-2.3,-1.5,5,0.005,26.747,0.07393910462,63.35355491,1.930127045,0.00187805576,23.07521514,0.09947821784,269.953021,1176692.147,-39.85534928,50.89130429,-0.001833385756,0.0009628808229
1,"LOE.12002,LOEN.52002",top,-2.7,-1.5,5,0.005,26.747,0.08658636869,59.84007929,1.892406683,0.001854371592,23.22210676,0.06062838234,144.6165302,552331.2515,-40.94219586,38.40681147,-0.001545769061,0.001108381863
1,"LOE.12002,LOEN.52002",top,-0.7,-1.9,5,0.005,26.747,0.04932726594,85.53805809,2.257132889,0.00189162769,22.99228683,0.0677168051,90.7301236,186871.963,-26.1856988,49.99444049,-0.01010245104,0.0008716498547
1,"LOE.12002,LOEN.52002",top,-1.1,-1.9,5,0.005,26.747,0.05440900497,81.31905576,2.233809879,0.001894136089,22.97705747,0.08629780474,153.5932508,429713.2874,-28.46770219,53.2526068,-0.008547921818,0.0008995208675
1,"LOE.12002,LOEN.52002",top,-1.5,-1.9,5,0.005,26.747,0.06135989141,74.30082818,2.125834251,0.001892684953,22.98586413,0.1040275691,240.0810662,884300.2101,-32.27419585,55.02269798,-0.007027758008,0.0009493969145
1,"LOE.12002,LOEN.52002",top,-1.9,-1.9,5,0.005,26.747,0.07070863098,67.44133917,2.002718033,0.001882562695,23.04757706,0.1036819325,277.7801174,1198024.155,-36.53101634,52.1223567,-0.005796144824,0.001033088541
1,"LOE.12002,LOEN.52002",top,-2.3,-1.9,5,0.005,26.747,0.08190121611,63.24917765,1.941199884,0.001862668439,23.17033015,0.07366550184,186.486197,760812.3177,-38.42376141,42.42510341,-0.004926339601,0.00114896817
1,"LOE.12002,LOEN.52002",top,-2.7,-1.9,5,0.005,26.747,0.09384067894,62.08992591,1.96766895,0.001840648573,23.30851262,0.03716678576,72.59358087,226034.4501,-35.94087909,29.01835392,-0.00438750231,0.00128075673
1,"LOE.12002,LOEN.52002",top,-0.7,-2.3,5,0.005,26.747,0.05537099575,71.40213353,1.967113523,0.001894827669,22.97286398,0.09017506665,164.9144686,469403.979,-32.12393736,54.68311436,-0.01233788947,0.001003836464
1,"LOE.12002,LOEN.52002",top,-1.1,-2.3,5,0.005,26.747,0.06159700476,69.22189084,1.967758943,0.001892873679,22.98471822,0.1053070204,243.6852203,895134.7081,-34.16969146,55.60858787,-0.0114228234,0.001063580623
1,"LOE.12002,LOEN.52002",top,-1.5,-2.3,5,0.005,26.747,0.06965906593,66.50488126,1.951478468,0.001883869675,23.03958077,0.1051790748,280.6486702,1202823.016,-36.3828147,52.64045731,-0.0103945924,0.001141992942
1,"LOE.12002,LOEN.52002",top,-1.9,-2.3,5,0.005,26.747,0.07949933439,64.52580901,1.945624895,0.001866753154,23.14496632,0.0801492586,208.2745231,873371.8107,-37.02950693,44.22589465,-0.009352971314,0.001239707248
1,"LOE.12002,LOEN.52002",top,-2.3,-2.3,5,0.005,26.747,0.09035800332,63.90483151,1.972292899,0.001846524468,23.27139762,0.04561409546,96.24812596,326322.2299,-34.74694755,32.338615,-0.008340620626,0.001347715676
1,"LOE.12002,LOEN.52002",top,-2.7,-2.3,5,0.005,26.747,0.1010773732,64.32216984,2.036464797,0.001829596752,23.37880506,0.02123462334,32.61490199,78593.46967,-30.18480838,20.630034,-0.007422191912,0.00145484973
1,"LOE.12002,LOEN.52002",top,-0.7,-2.7,5,0.005,26.747,0.06335920875,61.78605656,1.80663602,0.00189247617,22.98713203,0.1099474233,264.7829841,1003546.553,-38.86482876,57.00015874,-0.01496739019,0.001171374209
1,"LOE.12002,LOEN.52002",top,-1.1,-2.7,5,0.005,26.747,0.07083482972,61.47852256,1.832178246,0.001882784112,23.04622182,0.1058969723,286.4817935,1238125.599,-39.58178734,53.00945733,-0.01462894101,0.001261828652
