,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,"LOE.12002,LOEN.52002",top,-0.7,-0.7,-0.2,-0.005,26.7495,0.01782817118,148.562309,4.021061543,0.001834419078,23.3480557,0.0003715306225,1.300278643,636.0346846,0.8247217292,-2.382150513,-0.0006614767024,0.0002369498335
1,"LOE.12002,LOEN.52002",top,-1.1,-0.7,-0.2,-0.005,26.7495,0.02001890353,109.9729083,3.097337404,0.001834341012,23.34855252,8.365440217e-05,1.425422176,962.2504843,1.17300339,-3.116063093,0.0005470580063,0.0002304604103
2,"LOE.12002,LOEN.52002",top,-1.5,-0.7,-0.2,-0.005,26.7495,0.02337010329,80.52847983,2.290165571,0.001834253243,23.34911113,-0.0004340310842,1.410696029,1350.110021,1.743371983,-4.595761969,0.001332599329,0.0002493952921
3,"LOE.12002,LOEN.52002",top,-1.9,-0.7,-0.2,-0.005,26.7495,0.02925831342,57.62576369,1.62362578,0.001834305505,23.34877851,-0.001373296895,0.7465571499,928.1144859,2.926818106,-8.363220194,0.002058108288,0.0003005571905
4,"LOE.12002,LOEN.52002",top,-2.3,-0.7,-0.2,-0.005,26.7495,0.04217258183,39.48359614,1.095587257,0.001836522909,23.33467867,-0.0007111101624,1.473747649,1609.207182,7.368693182,-22.07129619,0.00299367075,0.0004317780568
5,"LOE.12002,LOEN.52002",top,-2.7,-0.7,-0.2,-0.005,26.7495,0.07059089809,35.52623867,1.093394825,0.001854422002,23.22179112,0.004482211796,-4.178564875,1827.812256,28.38350047,-49.43727638,0.003788646883,0.0007556479142
6,"LOE.12002,LOEN.52002",top,-0.7,-1.1,-0.2,-0.005,26.7495,0.01956990608,116.9184694,3.044346937,0.001834356006,23.3484571,0.0001449533305,1.406628134,896.9591293,1.070864137,-2.95088053,-0.002248822643,0.0002999166342
7,"LOE.12002,LOEN.52002",top,-1.1,-1.1,-0.2,-0.005,26.7495,0.02225950021,95.21534708,2.607079803,0.001834276192,23.34896507,-0.0002534197962,1.448815081,1248.035849,1.427516545,-4.027211492,-0.0009319326856,0.0002988330366
8,"LOE.12002,LOEN.52002",top,-1.5,-1.1,-0.2,-0.005,26.7495,0.02680603489,70.90042478,1.995644998,0.001834238056,23.34920779,-0.0009983326355,1.116615775,1306.239146,2.194059876,-6.516936636,7.063784811e-05,0.0003272486775
9,"LOE.12002,LOEN.52002",top,-1.9,-1.1,-0.2,-0.005,26.7495,0.03579752977,49.5567021,1.416165916,0.00183492155,23.34485869,-0.001853430008,0.1319472466,-5.072930627,4.413502143,-14.16768167,0.0009099658129,0.0004141336836
10,"LOE.12002,LOEN.52002",top,-2.3,-1.1,-0.2,-0.005,26.7495,0.05673271122,37.58687706,1.126189277,0.001843417776,23.29099888,0.00294931763,0.1030489454,-3113.248761,15.4948766,-37.55858577,0.001615181957,0.000650968342
11,"LOE.12002,LOEN.52002",top,-2.7,-1.1,-0.2,-0.005,26.7495,0.08590647544,42.790071,1.381410199,0.001863291873,23.16645358,-0.0009800973687,0.9292177336,-6246.042913,36.74154063,-48.67311127,0.001533156095,0.00100779383
12,"LOE.12002,LOEN.52002",top,-0.7,-1.5,-0.2,-0.005,26.7495,0.02210294918,89.40170171,2.333376868,0.001834280099,23.3489402,-0.0002318865019,1.447929502,1236.834605,1.47797193,-3.980481896,-0.003532761347,0.0003636996941
13,"LOE.12002,LOEN.52002",top,-1.1,-1.5,-0.2,-0.005,26.7495,0.0257801121,76.07375582,2.082329954,0.001834232045,23.34924605,-0.0008331340566,1.232142003,1372.797775,1.966026543,-5.87721261,-0.002505391555,0.0003839875639
14,"LOE.12002,LOEN.52002",top,-1.5,-1.5,-0.2,-0.005,26.7495,0.03267289272,57.80953214,1.656526386,0.001834521251,23.34740551,-0.001766872696,0.3221417038,307.1144867,3.333115078,-11.00490655,-0.001625878314,0.0004460612361
15,"LOE.12002,LOEN.52002",top,-1.9,-1.5,-0.2,-0.005,26.7495,0.04794748356,42.58435082,1.289868505,0.001838436786,23.3225294,6.933012332e-05,1.147207614,-521.6411057,9.204487007,-27.39081788,-0.001108330261,0.0006204138726
16,"LOE.12002,LOEN.52002",top,-2.3,-1.5,-0.2,-0.005,26.7495,0.07446378342,42.75412702,1.35140372,0.001853912603,23.22498123,9.269469291e-05,-0.174244206,-2110.363151,26.00956232,-44.57731177,-0.001142052907,0.0009478761337
17,"LOE.12002,LOEN.52002",top,-2.7,-1.5,-0.2,-0.005,26.7495,0.09839712803,49.76755306,1.619244058,0.001868849862,23.13197922,-0.003694718188,2.877866795,-8057.787349,41.20964097,-45.58191736,-0.00138388257,0.001244629114
18,"LOE.12002,LOEN.52002",top,-0.7,-1.9,-0.2,-0.005,26.7495,0.02606861475,68.4797115,1.872514525,0.001834234971,23.34922743,-0.0008805809272,1.188575414,1360.162536,2.1850112,-6.106949487,-0.004877169657,0.00044625493
19,"LOE.12002,LOEN.52002",top,-1.1,-1.9,-0.2,-0.005,26.7495,0.03194954799,58.10894408,1.677190808,0.001834463241,23.34777466,-0.001699656622,0.3961069083,421.913339,3.231844939,-10.4200252,-0.004403575269,0.0005092210437
20,"LOE.12002,LOEN.52002",top,-1.5,-1.9,-0.2,-0.005,26.7495,0.04411812677,46.08347752,1.429397095,0.001836943914,23.33200451,-0.0009325080806,0.8061235709,223.2267892,7.203120834,-22.98262852,-0.00427738058,0.0006589818649
21,"LOE.12002,LOEN.52002",top,-1.9,-1.9,-0.2,-0.005,26.7495,0.0668648512,43.79633162,1.402071293,0.001848344092,23.2599399,0.0002734109546,-1.078739017,271.1358086,19.86463546,-40.67387444,-0.004748446802,0.0009543017982
22,"LOE.12002,LOEN.52002",top,-2.3,-1.9,-0.2,-0.005,26.7495,0.09020656514,49.84619876,1.586861286,0.00186192082,23.17498149,-0.003439801253,2.957864234,-7946.185022,32.79882779,-43.47614482,-0.004881338511,0.00124731924
23,"LOE.12002,LOEN.52002",top,-0.7,-2.3,-0.2,-0.005,26.7495,0.03308517779,52.68485868,1.607083115,0.001834586758,23.34698868,-0.001767501421,0.2382414924,168.8940428,3.832261438,-11.66656849,-0.006829731668,0.0005824627513
24,"LOE.12002,LOEN.52002",top,-1.1,-2.3,-0.2,-0.005,26.7495,0.04441912813,45.37688993,1.491676347,0.001837131452,23.33081359,-0.0006315026973,1.125715288,422.994362,7.70126709,-23.75892347,-0.007541885991,0.0007450762698
25,"LOE.12002,LOEN.52002",top,-1.5,-2.3,-0.2,-0.005,26.7495,0.06444531136,44.19995641,1.475112018,0.001847035224,23.26817981,0.0006376106325,-1.500901512,665.7740397,18.68455862,-39.84088016,-0.008913230036,0.001034265037
26,"LOE.12002,LOEN.52002",top,-1.9,-2.3,-0.2,-0.005,26.7495,0.0857325196,49.95446428,1.601208364,0.001858466615,23.19650837,-0.003547028285,2.593995774,-7458.545497,29.16894879,-42.3303776,-0.009512025992,0.001318432939
27,"LOE.12002,LOEN.52002",top,-0.7,-2.7,-0.2,-0.005,26.7495,0.04803908414,43.32594372,1.57113626,0.001838893661,23.31963197,0.001218022973,2.478076927,-408.2516591,10.4385422,-29.24255488,-0.01073210173,0.0008679158195
28,"LOE.12002,LOEN.52002",top,-1.1,-2.7,-0.2,-0.005,26.7495,0.06722627671,43.81770849,1.555471467,0.001849637414,23.25180645,0.001531191679,-2.089630261,1018.82751,22.16018104,-43.01807988,-0.01324457234,0.00117717425
1,"LOE.12002,LOEN.52002",top,-0.4,-0.4,-0.2,-0.005,26.7495,0.01581116732,221.8434391,5.993725766,0.001834497064,23.34755943,0.0005975325301,1.120995767,362.7021079,0.530881042,-1.842372615,-0.0005107197285,0.0002080625361
1,"LOE.12002,LOEN.52002",top,-2.5,-2.5,-0.2,-0.005,26.7495,0.1155232555,60.00324754,1.904257517,0.00187271474,23.1080972,-0.005776508044,2.873467269,-4746.057687,41.43134715,-39.7818661,-0.01025153326,0.001706768322
1,"LOE.12002,LOEN.52002",top,-3.0,-2.0,-0.2,-0.005,26.7495,0.1216871451,59.99838734,1.99584734,0.001879037232,23.06918795,-0.005839754413,2.118068016,-4411.730435,52.85871157,-42.01704908,-0.005088812586,0.001630821708
