,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,0.01773045989,26.87163537,0.8133495565,0.001834252232,23.34911757,0.001052881143,1.583884626,817.9106725,0.1283564721,-0.4926805609,0.0138364946,-0.0003724237523
1,"LOE.12002,LOEN.52002",top,-1.1,-0.7,0.005,0.005,26.7495,0.01988141182,110.7204172,3.118493772,0.001834102068,23.35007338,0.0009097680551,1.899575923,1375.799412,0.2251232925,-0.8331067128,0.0005438472685,0.0002288668582
1,"LOE.12002,LOEN.52002",top,-1.5,-0.7,0.005,0.005,26.7495,0.02315355988,81.25595163,2.311406974,0.001833858721,23.35162257,0.0005824537705,2.253742071,2392.568667,0.4350755289,-1.621274435,0.001321817335,0.0002470467718
1,"LOE.12002,LOEN.52002",top,-1.9,-0.7,0.005,0.005,26.7495,0.02884848112,58.36955557,1.64568446,0.001833469384,23.3541018,-0.0002842540074,2.105804704,3387.775181,1.019420997,-3.969246535,0.00203482754,0.0002962015445
1,"LOE.12002,LOEN.52002",top,-2.3,-0.7,0.005,0.005,26.7495,0.04114426195,40.10230318,1.112140862,0.001833686524,23.35271899,-0.001689317735,0.1742608317,61.32469595,3.921693083,-14.25566147,0.002947258779,0.000420527711
1,"LOE.12002,LOEN.52002",top,-2.7,-0.7,0.005,0.005,26.7495,0.06866906845,35.18338314,1.075268846,0.001846023545,23.27455478,0.004679762772,-1.8712968,-3349.9214,22.15503771,-42.16938395,0.003779428586,0.0007325764017
1,"LOE.12002,LOEN.52002",top,-0.7,-1.1,0.005,0.005,26.7495,0.01944109025,117.6760292,3.062924137,0.001834133115,23.34987575,0.0009423386352,1.838705517,1254.307275,0.1990071385,-0.7543857259,-0.002233615323,0.0002979357475
1,"LOE.12002,LOEN.52002",top,-1.1,-1.1,0.005,0.005,26.7495,0.02207175259,96.00349152,2.627768367,0.001833940286,23.35110328,0.0007062694204,2.159648041,2043.751974,0.3299191877,-1.311208164,-0.0009229853911,0.0002962872041
1,"LOE.12002,LOEN.52002",top,-1.5,-1.1,0.005,0.005,26.7495,0.0264862148,71.70430599,2.017519676,0.001833618581,23.35315164,0.0001185019749,2.311434955,3200.368542,0.676711198,-2.788354999,7.30089602e-05,0.0003232609926
1,"LOE.12002,LOEN.52002",top,-1.9,-1.1,0.005,0.005,26.7495,0.03510488513,50.3215898,1.436693464,0.001833284037,23.35528232,-0.001346771647,0.8640823075,1509.612539,1.987663072,-8.139866835,0.0009048263339,0.000405780604
