,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",bot,-0.7,-0.7,0.2,0.005,26.7495,0.01764280138,154.4665281,4.145241328,0.001834306211,23.34877401,0.00175827347,1.888364957,1020.83437,-0.527085831,1.259563061,0.0001646580357,-0.0002197345507
1,"LOE.12002,LOEN.52002",bot,-1.1,-0.7,0.2,0.005,26.7495,0.0197585456,113.8105869,3.150694335,0.001834142672,23.34981492,0.001796945055,2.432087838,1862.99747,-0.6645865471,1.282250232,-0.001171016407,-0.0002085799957
1,"LOE.12002,LOEN.52002",bot,-1.5,-0.7,0.2,0.005,26.7495,0.02296131037,83.90256836,2.305190616,0.001833849754,23.35167966,0.001755385941,3.287171558,3758.179444,-0.7866848773,1.124001802,-0.002170498028,-0.0002193538768
1,"LOE.12002,LOEN.52002",bot,-1.9,-0.7,0.2,0.005,26.7495,0.02848893214,61.58093242,1.603212124,0.001833253807,23.35547489,0.001272846807,4.259158335,7766.527779,-0.7415981408,0.04304547433,-0.003336904233,-0.0002530098092
1,"LOE.12002,LOEN.52002",bot,-2.3,-0.7,0.2,0.005,26.7495,0.04025626196,45.44225778,0.9946507571,0.00183220585,23.36215319,-0.001128662384,1.261765937,3080.074344,0.8364618919,-7.188096131,-0.005547633342,-0.0003323896555
1,"LOE.12002,LOEN.52002",bot,-2.7,-0.7,0.2,0.005,26.7495,0.06694145242,43.50252196,0.7790933886,0.001839457027,23.31606067,0.003267074673,1.107892446,-4277.701452,16.33576513,-34.84822142,-0.01106046642,-0.0004964727382
1,"LOE.12002,LOEN.52002",bot,-0.7,-1.1,0.2,0.005,26.7495,0.01932588321,123.4627202,3.173695958,0.001834177303,23.34959448,0.001792041749,2.319682394,1671.14344,-0.6197578922,1.281433557,0.001662847714,-0.0002792664458
1,"LOE.12002,LOEN.52002",bot,-1.1,-1.1,0.2,0.005,26.7495,0.02190468925,100.0953852,2.675860865,0.00183395219,23.35102749,0.001784305876,3.006205479,3054.138721,-0.6969073847,1.199683237,0.0001620658717,-0.0002713372115
1,"LOE.12002,LOEN.52002",bot,-1.5,-1.1,0.2,0.005,26.7495,0.02620419124,75.00769004,2.008673148,0.001833511509,23.35383351,0.001543406762,3.979503847,6128.091691,-0.7315092171,0.6338869803,-0.001174662058,-0.0002867747753
1,"LOE.12002,LOEN.52002",bot,-1.9,-1.1,0.2,0.005,26.7495,0.03450318693,54.01364624,1.356495351,0.001832595262,23.35967092,0.0001286961633,3.476125608,8241.756421,-0.2177273076,-2.679028198,-0.002821685534,-0.0003411234053
1,"LOE.12002,LOEN.52002",bot,-2.3,-1.1,0.2,0.005,26.7495,0.05369086145,43.32491044,0.8989325025,0.001833557431,23.35354106,-0.0008408894546,1.138813996,1060.386637,6.167257922,-20.79074038,-0.006283686226,-0.0004749204644
