,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.55,0.01773480386,149.3226813,4.040510751,0.001834037821,23.35048236,0.001050002037,1.582186166,816.7089833,0.1283168599,-0.4911129004,-0.0006572274556,0.0002357470438
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.575,0.01773118566,149.3637877,4.042366939,0.001834216494,23.34934503,0.001052401102,1.583601579,817.7104627,0.1283498944,-0.4923713172,-0.0006574715449,0.0002356630214
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.599999999999998,0.01772754953,149.4050648,4.044227765,0.00183439519,23.34820773,0.001054802072,1.585016658,818.7111908,0.1283826715,-0.4941287683,-0.0006577142155,0.0002355787828
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.624999999999996,0.0177238932,149.4465321,4.046093732,0.001834573905,23.34707046,0.001057205035,1.586431164,819.7108978,0.1284151577,-0.4963906917,-0.0006579553478,0.0002354942977
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.649999999999995,0.01772021217,149.4882282,4.047965871,0.001834752639,23.34593325,0.001059610232,1.587844691,820.7090983,0.1284472897,-0.4994831999,-0.0006581946989,0.0002354095046
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.674999999999994,0.01771650005,149.5302079,4.049845644,0.001834931391,23.34479609,0.001062018017,1.589256671,821.705115,0.1284789782,-0.5031088201,-0.0006584319348,0.0002353243161
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.699999999999992,0.01771274815,149.5725458,4.051735052,0.001835110159,23.34365899,0.001064428883,1.590666336,822.6980275,0.1285101018,-0.5070520779,-0.0006586665884,0.0002352386127
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.72499999999999,0.0177089445,149.6153446,4.05363684,0.001835288946,23.34252194,0.001066843507,1.592072633,823.6865721,0.128540494,-0.5088650093,-0.0006588980535,0.0002351522311
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.74999999999999,0.0177050723,149.6587488,4.055554877,0.00183546775,23.34138494,0.001069262848,1.593474085,824.668976,0.1285699208,-0.55659645,-0.0006591254355,0.0002350649407
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,0.005,0.005,26.7495,26.774999999999988,0.01770110727,149.702967,4.057494748,0.001835646572,23.340248,0.001071688293,1.594868558,825.6426762,0.1285980439,-0.5577611038,-0.0006593474718,0.0002349764087
