,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,1,0.005,26.7485,26.58,0.05119397428,65.29211313,1.878453166,0.001830553818,23.37269271,0.004802818459,9.437150743,20024.25169,-4.956220007,5.835938867,-0.005152107773,0.0007706862988
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,2,0.005,26.7485,26.58,0.04827243907,67.98912243,1.939066704,0.001841433691,23.30354315,0.02551850303,51.00654103,150138.1659,-13.07798707,23.87208301,-0.004818149414,0.0007256152052
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,3,0.005,26.7485,26.58,0.04572607365,70.75716741,2.002481496,0.001861990528,23.17454768,0.05934987323,134.0761711,470133.2671,-20.22552824,40.57235485,-0.004531107693,0.0006864471286
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,4,0.005,26.7485,26.58,0.04349116218,73.55820976,2.06764339,0.00188967875,23.00414045,0.1034023981,254.7889356,992305.5387,-26.59776817,56.04458121,-0.004282446215,0.0006521636583
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,5,0.005,26.7485,26.58,0.04151561552,76.36602979,2.133783824,0.001922614718,22.80624937,0.1545901466,403.465982,1677974.375,-32.34742863,70.43612176,-0.004065298662,0.0006219352244
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,6,0.005,26.7485,26.58,0.03975720309,79.16294528,2.200352018,0.001959420116,22.59103971,0.2103202892,569.8118997,2470238.413,-37.59081451,83.89849393,-0.00387418291,0.0005950915848
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,1,1.0,26.7485,26.58,0.0233856749,195.1471879,-1.772504199,0.001835264917,23.34267474,0.00332264345,1.348576433,275.1455961,-0.4064538999,9.534150488,0.01689262876,-0.0005707097861
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,2,1.0,26.7485,26.58,0.02303617256,194.2609452,-1.778280091,0.001839610855,23.31508581,0.005883718,1.837963509,422.298008,-0.8120421662,15.68655215,0.01664598131,-0.0005621303708
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,3,1.0,26.7485,26.58,0.02269999131,193.3867726,-1.783936496,0.001846663473,23.27052174,0.008810405483,2.451208177,628.4926915,-1.218674321,21.91216646,0.01640870784,-0.0005538779596
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,4,1.0,26.7485,26.58,0.02237629613,192.5243076,-1.789476088,0.001856191278,23.21072126,0.01211828787,3.204152312,907.4424354,-1.626333106,28.20685361,0.01618022052,-0.0005459320745
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,5,1.0,26.7485,26.58,0.0220643239,191.6731995,-1.794901601,0.001867985821,23.13732848,0.0158214589,4.112700604,1274.452492,-2.035002523,34.56691269,0.0159599822,-0.0005382739983
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,1,2.0,26.7485,26.58,0.0230599524,197.2770736,-1.75679687,0.001835246088,23.34279449,0.003294164715,1.334145995,270.8136561,-0.4056091076,13.50334742,0.01664454587,-0.0005628760007
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,1,3.0,26.7485,26.58,0.02274515254,199.3613173,-1.741064137,0.001835228104,23.34290886,0.003267590047,1.320687075,266.7917263,-0.4048050475,17.47318656,0.01640501023,-0.0005553028594
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,1,4.0,26.7485,26.58,0.02244067497,201.4019129,-1.725317073,0.001835210911,23.34301821,0.003242790252,1.308132608,263.0551443,-0.4040389543,21.44364475,0.01617354356,-0.0005479761091
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,1,5.0,26.7485,26.58,0.02214596488,203.4007534,-1.709565159,0.001835194459,23.34312284,0.003219647497,1.29642175,259.5818138,-0.4033083113,25.41470082,0.0159497042,-0.0005408825761
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-1,-1.0,26.7485,26.58,0.02480340169,11531.3072,672.6133894,0.001835824189,23.33911888,-0.0006586374866,3.632327858e+21,1.850688841e+46,-6.240404992,-10.62176771,0.01771253747,-0.0003665322139
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-2,-1.0,26.7485,26.58,0.02525980723,1113.817632,37.53320002,0.001841604682,23.30246127,-0.002506652809,0.4661760108,72.36696569,0.8083344837,-16.63088107,0.006945507208,9.749149651e-05
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-1.0,26.7485,26.58,0.02569088772,194.3033724,-1.781534621,0.001851566856,23.23968841,-0.003841167594,0.3132949615,53.10183749,1.211611711,-22.53065262,0.01856105319,-0.0006269247168
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-4,-1.0,26.7485,26.58,0.02614192644,195.2230475,-1.775701097,0.001866152191,23.14869274,-0.004909813674,0.2073543781,45.70919315,1.613719001,-28.33089203,0.01887997636,-0.0006379894167
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-1,-2.0,26.7485,26.58,0.02522687832,190.1935623,-1.808927862,0.001835865116,23.33885872,-0.0009285226307,0.6867259294,111.5609775,0.4051944703,-14.69337633,0.01825419523,-0.0006153534655
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-1,-3.0,26.7485,26.58,0.02562115976,187.8323731,-1.824891703,0.001835906247,23.33859728,-0.0009843776805,0.6903262157,111.9751064,0.4065377549,-18.74878358,0.01855541777,-0.0006248280611
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-1,-4.0,26.7485,26.58,0.0259812918,309498.6959,6169.65162,0.001835947396,23.33833574,-0.0009782745429,-3.174433025e+18,3.232659693e+41,85.92612965,-22.7874055,0.007661052783,-0.0005006603222
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,2,2.0,26.7485,26.58,0.02271744497,196.3789304,-1.762810963,0.001839472905,23.31596005,0.005802798186,1.812279404,413.5077551,-0.8101998017,19.61595644,0.01640310833,-0.0005544659383
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,3,3.0,26.7485,26.58,0.0220862941,197.554728,-1.753432143,0.001846019715,23.27457892,0.008530076683,2.371456505,598.4093946,-1.213103921,29.69539191,0.01594106,-0.0005391205728
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,4,4.0,26.7485,26.58,0.0214892226,198.6782041,-1.744356632,0.001854512979,23.22122152,0.01149674067,3.030902646,836.5346418,-1.615241089,39.77289923,0.01550424118,-0.0005246011869
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-2,-2.0,26.7485,26.58,0.02564861856,191.0751264,-1.803575969,0.001841823788,23.30107518,-0.002589652729,0.4669476652,72.09104948,0.810736921,-20.73134419,0.01855280597,-0.0006256967279
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-3,-3.0,26.7485,26.58,0.02650331931,1111.620382,37.39575376,0.001852662393,23.23281622,-0.004054680582,0.31483919,52.51646827,1.218816071,-30.82911996,0.007224515734,0.000104422639
1,"LOE.12002,LOEN.52002",top,-1.388,-1.735,-4,-4.0,26.7485,26.58,0.02741683651,1110.704827,37.3399448,0.001869316792,23.12909002,-0.005284397303,0.2148983988,45.63033069,1.628291614,-40.93325074,0.007451577531,0.0001087698027
