,Unnamed: 0,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,0,"LOE.12002,LOEN.52002",bot,-2.6,-2.8,3,0.005,26.7495,0.1060823755,65.51624713,1.542052865,0.001815469166,23.46959316,-0.0003604930294,0.7407196245,635.8420484,-4.06382992,-5.198327004,-0.006166957009,-0.001099534017
1,1,"LOE.12002,LOEN.52002",bot,-2.5,-2.9,3,0.005,26.7495,0.1055048568,65.54376819,1.548313481,0.001815561967,23.46899335,-0.0002714420699,0.8167829482,733.0780025,-4.389247108,-4.810951794,-0.004722279912,-0.001131943387
2,2,"LOE.12002,LOEN.52002",bot,-2.4,-3.0,3,0.005,26.7495,0.105068159,65.35674144,1.548913814,0.001815636048,23.46851455,-0.0002107511295,0.8677835966,800.9970331,-4.583050533,-4.562654541,-0.003288632323,-0.001165707088
3,3,"LOE.12002,LOEN.52002",bot,-2.3,-3.1,3,0.005,26.7495,0.1047771815,64.95846066,1.543721021,0.001815685109,23.46819748,-0.000182880226,0.8885163799,830.4340972,-4.652465671,-4.456591436,-0.001882323018,-0.001200445466
4,4,"LOE.12002,LOEN.52002",bot,-2.2,-3.2,3,0.005,26.7495,0.1046440303,64.36350684,1.53289891,0.001815706591,23.46805865,-0.0001890983722,0.8773034732,817.7637378,-4.602455167,-4.491814093,-0.0005186243881,-0.001235768291
5,5,"LOE.12002,LOEN.52002",bot,-2.1,-3.3,3,0.005,26.7495,0.1048853566,63.59608235,1.516880395,0.001815701689,23.46809033,-0.0002275011029,0.836142858,765.5687869,-4.435245893,-4.663745372,0.0007891947353,-0.001271301094
6,6,"LOE.12002,LOEN.52002",bot,-2.8,-2.6,3,0.005,26.7495,0.1076255713,64.85763282,1.514390404,0.001815267728,23.47089532,-0.0005933564388,0.5462968837,405.1164647,-2.984703796,-6.356645322,-0.009025488592,-0.001040089026
7,7,"LOE.12002,LOEN.52002",bot,-2.9,-2.5,3,0.005,26.7495,0.1085683154,64.26596884,1.494340988,0.001815183573,23.4714394,-0.0007189512353,0.4461059505,296.8744355,-2.216207049,-7.101411992,-0.01041088462,-0.001013547415
8,8,"LOE.12002,LOEN.52002",bot,-3.0,-2.4,3,0.005,26.7495,0.109607333,63.53196752,1.47115275,0.001815127047,23.47180486,-0.0008389866423,0.3542119209,205.2708022,-1.288980321,-7.934556884,-0.0117516377,-0.0009893303623
9,9,"LOE.12002,LOEN.52002",bot,-3.1,-2.3,3,0.005,26.7495,0.1107428095,62.68001963,1.445536171,0.001815108929,23.471922,-0.0009467309274,0.2753529563,133.8979332,-0.2023683259,-8.837768819,-0.01303924841,-0.0009674989577
10,10,"LOE.12002,LOEN.52002",bot,-3.2,-2.2,3,0.005,26.7495,0.1121008186,61.73175202,1.418099282,0.001815137549,23.47173696,-0.001037886107,0.2114528244,82.42157072,1.040949932,-9.79267511,-0.0142675653,-0.0009480516678
11,11,"LOE.12002,LOEN.52002",bot,-3.3,-2.1,3,0.005,26.7495,0.1134996106,60.70485008,1.389322173,0.001815218288,23.47121496,-0.001110733873,0.1619608825,47.816833,2.435294715,-10.78184394,-0.01543250808,-0.0009309372972
12,1,"LOE.12002,LOEN.52002",bot,-2.0,-3.4,3,0.005,26.7495,0.1052573545,62.68692879,1.496299935,0.001815674902,23.46826345,-0.0002934822243,0.7701858084,681.8442005,-4.1505098,-4.964845817,-0.01816831459,0.001795063248
13,1,"LOE.12002,LOEN.52002",bot,-1.9,-3.5,3,0.005,26.7495,0.1057512158,61.66967093,1.471905983,0.001815633271,23.4685325,-0.0003805165783,0.6867158119,578.0531724,-3.746047836,-5.385347371,0.003197804795,-0.001341698397
14,1,"LOE.12002,LOEN.52002",bot,-1.8,-3.6,3,0.005,26.7495,0.1063568236,60.57742586,1.444475021,0.001815585463,23.46884149,-0.000481083891,0.5938895528,466.6664773,-3.218714935,-5.913966948,0.004286296448,-0.001376046255
15,1,"LOE.12002,LOEN.52002",bot,-1.7,-3.7,3,0.005,26.7495,0.1070632815,59.44023427,1.41474277,0.001815540844,23.46912987,-0.000587577354,0.4995130734,358.8763096,-2.565332786,-6.538551772,0.005293947381,-0.001409574628
