,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
0,"LOE.12002,LOEN.52002",top,-2.6,-2.8,3,0.005,26.7495,0.1060823755,59.20401449,1.878761587,0.001815469166,23.46959316,-0.0003604930294,0.7407196246,635.8420485,-4.06382992,-5.198327004,-0.01091782456,0.001611965132
1,"LOE.12002,LOEN.52002",top,-2.5,-2.9,3,0.005,26.7495,0.1055048568,59.21918194,1.874208799,0.001815561967,23.46899335,-0.0002714420698,0.8167829483,733.0780026,-4.389247109,-4.810951794,-0.01208200661,0.001637141897
2,"LOE.12002,LOEN.52002",top,-2.4,-3.0,3,0.005,26.7495,0.105068159,59.16514918,1.870207954,0.001815636048,23.46851455,-0.0002107511295,0.8677835966,800.9970331,-4.583050533,-4.562654541,-0.01328231527,0.001664917892
3,"LOE.12002,LOEN.52002",top,-2.3,-3.1,3,0.005,26.7495,0.1047771815,59.03198106,1.866298814,0.001815685109,23.46819748,-0.000182880226,0.88851638,830.4340972,-4.652465672,-4.456591435,-0.01450456012,0.001694966251
4,"LOE.12002,LOEN.52002",top,-2.2,-3.2,3,0.005,26.7495,0.1046440303,58.81918003,1.862214156,0.001815706591,23.46805865,-0.0001890983722,0.8773034732,817.7637378,-4.602455167,-4.491814093,-0.01573467261,0.001726922148
5,"LOE.12002,LOEN.52002",top,-2.1,-3.3,3,0.005,26.7495,0.1048853566,58.53493361,1.857878408,0.001815701689,23.46809033,-0.0002275011029,0.836142858,765.568787,-4.435245894,-4.663745372,-0.01695965696,0.001760409291
6,"LOE.12002,LOEN.52002",top,-2.8,-2.6,3,0.005,26.7495,0.1076255713,59.04728506,1.892115118,0.001815267728,23.47089532,-0.0005933564388,0.5462968838,405.1164647,-2.984703797,-6.356645322,-0.008749237579,0.001570382951
7,"LOE.12002,LOEN.52002",top,-2.9,-2.5,3,0.005,26.7495,0.1085683154,58.96022824,1.902406092,0.001815183573,23.4714394,-0.0007189512352,0.4461059505,296.8744356,-2.21620705,-7.101411991,-0.007765424056,0.001554249852
8,"LOE.12002,LOEN.52002",top,-3.0,-2.4,3,0.005,26.7495,0.109607333,58.90740823,1.916099194,0.001815127047,23.47180486,-0.0008389866422,0.354211921,205.2708023,-1.288980322,-7.934556883,-0.006857982371,0.001541250863
9,"LOE.12002,LOEN.52002",top,-3.1,-2.3,3,0.005,26.7495,0.1107428095,58.91790401,1.933860735,0.001815108929,23.471922,-0.0009467309274,0.2753529564,133.8979333,-0.2023683263,-8.837768819,-0.006030546539,0.001531301328
10,"LOE.12002,LOEN.52002",top,-3.2,-2.2,3,0.005,26.7495,0.1121008186,59.01804463,1.956260068,0.001815137549,23.47173696,-0.001037886107,0.2114528245,82.42157075,1.040949932,-9.79267511,-0.005284266091,0.001524247111
11,"LOE.12002,LOEN.52002",top,-3.3,-2.1,3,0.005,26.7495,0.1134996106,59.23068452,1.983764582,0.001815218288,23.47121496,-0.001110733873,0.1619608826,47.81683302,2.435294715,-10.78184394,-0.004618184465,0.001519880993
13,"LOE.12002,LOEN.52002",top,-2.0,-3.4,3,0.005,26.7495,0.1052573545,58.19413887,1.853376766,0.001815674902,23.46826345,-0.0002934822243,0.7701858084,681.8442005,-4.1505098,-4.964845817,-0.01816831459,0.001795063248
14,"LOE.12002,LOEN.52002",top,-1.9,-3.5,3,0.005,26.7495,0.1057512158,57.81579834,1.848906521,0.001815633271,23.4685325,-0.0003805165783,0.6867158119,578.0531724,-3.746047836,-5.385347371,-0.0193516523,0.00183054837
15,"LOE.12002,LOEN.52002",top,-1.8,-3.6,3,0.005,26.7495,0.1063568236,57.42044199,1.844725068,0.001815585463,23.46884149,-0.000481083891,0.5938895528,466.6664773,-3.218714935,-5.913966948,-0.02050297227,0.001866567229
16,"LOE.12002,LOEN.52002",top,-1.7,-3.7,3,0.005,26.7495,0.1070632815,57.02805671,1.841106119,0.001815540844,23.46912987,-0.000587577354,0.4995130734,358.8763096,-2.565332786,-6.538551772,-0.0216177097,0.001902863361
