,name,island,k31,k32,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,0.0,-2.0,26.7485,0.03152216802,82.15705874,2.071535836,0.001856287664,23.21011866,0.02481879366,20.87754118,24003.00565,-16.78594356,38.14961935,-0.008562210761,0.0006019975653
1,"LOE.12002,LOEN.52002",top,0.0,-2.1,26.7485,0.03232251351,78.76136224,2.012088771,0.001857024816,23.20551153,0.02675224086,24.2288896,30223.99224,-17.60677999,39.19766388,-0.008789789737,0.0006176448564
1,"LOE.12002,LOEN.52002",top,0.0,-2.2,26.7485,0.03318368175,75.56743387,1.957808565,0.001857797286,23.20068662,0.02893239935,28.29358855,38394.67608,-18.46616707,40.32004175,-0.009034923179,0.0006344953159
1,"LOE.12002,LOEN.52002",top,0.0,-2.3,26.7485,0.03411325604,72.55647116,1.908379378,0.001858603273,23.19565557,0.0313980322,33.25743746,49237.49292,-19.36964785,41.52170761,-0.009299841083,0.0006527009206
1,"LOE.12002,LOEN.52002",top,0.0,-2.4,26.7485,0.03512008833,69.71344386,1.863576919,0.001859438846,23.19044328,0.03419345653,39.36058802,63779.04727,-20.32348892,42.80688937,-0.009587148308,0.0006724393254
1,"LOE.12002,LOEN.52002",top,-2.0,0.0,26.7485,0.03412395116,76.50811984,2.248743076,0.001858667491,23.19525485,0.03146115126,33.29535174,49224.28339,-19.53272073,41.60600928,0.00418676541,0.0002976135398
1,"LOE.12002,LOEN.52002",top,-2.1,0.0,26.7485,0.03528737381,72.46558052,2.123035008,0.001859634677,23.1892222,0.03471627831,40.442205,66352.67009,-20.6365594,43.09623046,0.004285258086,0.0003090566343
1,"LOE.12002,LOEN.52002",top,-2.2,0.0,26.7485,0.03657263408,68.60999752,2.003424754,0.001860629865,23.1830198,0.03848564233,49.5855461,90704.15367,-21.8186327,44.70119423,0.004390435855,0.0003217558706
1,"LOE.12002,LOEN.52002",top,-2.3,0.0,26.7485,0.03799576597,64.92411366,1.889510965,0.001861632836,23.17677394,0.04285096753,61.36821734,125785.9495,-23.09152531,46.41953439,0.004502713902,0.0003359350445
1,"LOE.12002,LOEN.52002",top,-2.4,0.0,26.7485,0.0395800594,61.39644497,1.781118733,0.001862609607,23.17069607,0.04788980403,76.62521448,176898.2829,-24.46939525,48.24032691,0.004622402725,0.0003518691073
1,"LOE.12002,LOEN.52002",top,-2.6,-2.4,26.7485,0.09204663275,57.73849507,1.814787678,0.001820146725,23.43941674,0.005015063793,8.35602281,17360.06635,-14.54514458,14.0297128,-0.007014152423,0.001329821202
1,"LOE.12002,LOEN.52002",top,-2.7,-2.3,26.7485,0.09295553094,57.5055023,1.815640287,0.001819601404,23.44292879,0.004375592086,7.225870549,14351.41814,-14.10334614,13.1837643,-0.006064758546,0.001314811034
1,"LOE.12002,LOEN.52002",top,-2.8,-2.2,26.7485,0.09397552736,57.24199582,1.81745526,0.001819015912,23.44670131,0.003699056196,6.084384584,11460.45274,-13.55498891,12.21496072,-0.005177658827,0.00130280243
1,"LOE.12002,LOEN.52002",top,-2.9,-2.1,26.7485,0.09513232481,56.97761793,1.821008357,0.001818413263,23.45058628,0.003013895318,4.98669842,8833.166624,-12.88593809,11.13799074,-0.004357657937,0.001293785733
1,"LOE.12002,LOEN.52002",top,-3.0,-2.0,26.7485,0.0965173321,56.74092203,1.82704283,0.001817816463,23.45443545,0.002346533828,3.977357325,6565.578612,-12.08457846,9.969615361,-0.003607527301,0.001287684445
1,"LOE.12002,LOEN.52002",top,-3.1,-1.9,26.7485,0.09796727474,56.55790242,1.836227767,0.00181724716,23.45810903,0.00171950162,3.087496067,4702.215925,-11.14254979,8.72794576,-0.002928244222,0.00128436609
1,"LOE.12002,LOEN.52002",top,-3.2,-1.8,26.7485,0.099469569,56.4511897,1.849133688,0.001816724494,23.4614832,0.001150095461,2.334005754,3242.300767,-10.05512868,7.431667785,-0.002319292359,0.001283654493
1,"LOE.12002,LOEN.52002",top,-3.3,-1.7,26.7485,0.1010120132,56.43978063,1.866223242,0.00181626422,23.4644558,0.0006497006219,1.720539684,2150.981653,-8.821311856,6.099281522,-0.001778967466,0.001285341864
1,"LOE.12002,LOEN.52002",top,-3.4,-1.6,26.7485,0.1025829836,56.53914546,1.887853673,0.001815878162,23.46694995,0.0002237792861,1.239909257,1372.524267,-7.44365636,4.748407588,-0.001304655343,0.00128919972
1,"LOE.12002,LOEN.52002",top,-3.9,-1.1,26.7485,0.1105175423,59.04692424,2.071062804,0.001815197067,23.47135215,-0.0009126375711,0.216306542,88.78564678,1.321203906,-1.791412917,0.0002054302129,0.001332644578
1,"LOE.12002,LOEN.52002",top,-4.0,-1.0,26.7485,0.112064704,59.9970931,2.123523893,0.001815291942,23.47073878,-0.001000388409,0.1595069106,49.66308374,3.371737556,-2.990008781,0.0003645207039,0.001344550231
1,"LOE.12002,LOEN.52002",top,-2.1,-0.4,26.7485,0.03828166777,70.39979568,2.052713058,0.00186158807,23.1770526,0.04351162475,65.18815527,143757.7767,-21.33096174,46.01859988,0.00343980302,0.000370819408
1,"LOE.12002,LOEN.52002",top,-0.9,-0.9,26.7485,0.02938333841,136.964251,3.727990145,0.00185416768,23.22338364,0.02010439506,14.09609315,13699.89941,-10.88587069,34.80518756,-0.001428701706,0.000400353439
1,"LOE.12002,LOEN.52002",top,-1.2,-1.2,26.7485,0.03362361775,104.3840439,2.870393627,0.001857969803,23.19960948,0.03013020622,32.30294079,50905.59523,-14.2179749,39.867303,-0.00177459745,0.0004621305302
1,"LOE.12002,LOEN.52002",top,-1.5,-1.5,26.7485,0.04007866619,80.18063027,2.24981672,0.001862168161,23.17344234,0.04899662756,87.24643835,238439.1008,-18.59354305,46.60022027,-0.002326124331,0.0005569688929
1,"LOE.12002,LOEN.52002",top,-1.8,-1.8,26.7485,0.05068076505,62.68119661,1.827776412,0.001862073099,23.17403385,0.074033588,219.7931729,1030215.283,-24.42619028,51.76300554,-0.003330565673,0.0007156869205
1,"LOE.12002,LOEN.52002",top,-2.1,-2.1,26.7485,0.06716347739,54.93753797,1.679303655,0.001845448977,23.27817769,0.05255479522,172.5748702,895986.723,-27.15647061,41.62607271,-0.005119561049,0.0009691651973
1,"LOE.12002,LOEN.52002",top,-2.2,-2.2,26.7485,0.07345457364,54.78526835,1.691873926,0.001837409569,23.32904781,0.03506392245,101.2638206,456790.4093,-25.43057511,34.36789087,-0.005858998736,0.001067562211
1,"LOE.12002,LOEN.52002",top,-2.3,-2.3,26.7485,0.07969015451,55.43964971,1.723662943,0.001830252173,23.37461866,0.02075516964,49.97558478,183015.2502,-22.45657765,26.97096133,-0.006610944261,0.001165621844
1,"LOE.12002,LOEN.52002",top,-2.4,-2.4,26.7485,0.08566174973,56.56694495,1.766419455,0.00182464735,23.41049138,0.01122629982,22.21211156,63236.28225,-18.7811036,20.32091157,-0.007339190772,0.001259722615
1,"LOE.12002,LOEN.52002",top,-2.5,-2.5,26.7485,0.091258606,57.91240057,1.814147123,0.001820630281,23.4363038,0.005589214289,9.413699684,20300.97047,-14.8959232,14.74077862,-0.008018899533,0.001347768538
