,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.05,0.09656175378,58.77924685,1.816721882,0.002009067389,22.31016324,-0.03621502796,57.04107998,-164008.5344,58.07287991,-110.8262374,0.0002818647074,0.001181403175
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.1,0.09671534735,58.79029774,1.818212329,0.002009019545,22.31042889,-0.03604999404,56.71798813,-163016.9657,58.09442491,-106.6081708,0.000265029007,0.001183226772
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.150000000000002,0.09686913132,58.80170798,1.819714145,0.002008971596,22.31069513,-0.03588424112,56.39262036,-162016.6737,58.11577041,-5045.797805,0.0002481324047,0.001185053439
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.200000000000003,0.0970230992,58.81347718,1.821227288,0.002008923551,22.31096192,-0.03571778988,56.06503864,-161007.9198,58.13691456,-102.6864284,0.0002311754226,0.001186883099
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.250000000000004,0.09717724739,58.82560515,1.822751743,0.002008875415,22.31122922,-0.03555065807,55.73529935,-159990.949,58.15785594,-100.7380253,0.00021415827,0.001188715707
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.300000000000004,0.09733157271,58.83809167,1.8242875,0.002008827194,22.31149701,-0.03538286307,55.40345842,-158966.0053,58.17859324,-101.3571916,0.0001970811136,0.001190551225
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.350000000000005,0.09748607198,58.85093652,1.825834545,0.002008778893,22.31176524,-0.03521442241,55.06957215,-157933.3346,58.19912519,-98.1002659,0.0001799441237,0.001192389614
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.400000000000006,0.09764074159,58.8641394,1.827392862,0.002008730518,22.3120339,-0.03504535416,54.73369816,-156893.1868,58.21945048,-99.4043998,0.0001627475218,0.001194230829
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.450000000000006,0.09779557514,58.87769974,1.828962405,0.002008682077,22.31230294,-0.03487567959,54.39590055,-155845.8326,58.23956751,-93.84325786,0.000145491845,0.001196074793
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.500000000000007,2.310952484e-14,63.85582941,1.741579726,0.001853974296,23.2245948,0.001889050573,-0.06961967385,0.6428483826,-12.00000002,-12.00000002,9.6795038e-15,-4.81746747e-16
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.550000000000008,0.09810577836,58.90589675,1.832135694,0.002008585001,22.31284211,-0.03453451999,53.71463867,-153730.1155,58.27917947,-90.21090438,0.0001107976061,0.001199771493
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.60000000000001,0.09826110015,58.92052895,1.833738985,0.002008536391,22.31311211,-0.0343631165,53.37138105,-152662.5385,58.29866687,-86.40000638,9.336405821e-05,0.001201623655
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.65000000000001,0.09841658337,58.93551818,1.835353546,0.002008487735,22.31338238,-0.03419116711,53.02640816,-151588.69,58.3179429,-82.18832777,7.587102824e-05,0.001203478532
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.70000000000001,0.09857222143,58.95086372,1.836979325,0.002008439041,22.31365287,-0.0340186937,52.6797858,-150508.8465,58.3370061,-74.84343793,5.831909178e-05,0.001205336042
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.75000000000001,0.09872801035,58.96656505,1.838616297,0.002008390314,22.31392355,-0.03384571533,52.33157424,-149423.2674,58.35585541,-76.21007608,4.07085347e-05,0.001207196138
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.80000000000001,0.09888394622,58.98262167,1.840264436,0.002008341561,22.31419439,-0.03367225101,51.98183369,-148332.2118,58.3744898,-170.1410016,2.303963774e-05,0.001209058771
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.850000000000012,0.09904002426,58.9990329,1.841923705,0.002008292789,22.31446534,-0.03349832082,51.63062656,-147235.9453,58.39290821,-102.4965636,5.312786264e-06,0.001210923883
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.900000000000013,0.09919623621,59.01579768,1.843594032,0.002008244005,22.31473637,-0.03332394877,51.27802326,-146134.7586,58.41110921,-93.19712226,-1.247123222e-05,0.001212791372
1,"LOE.12002,LOEN.52002",top,-1.837,-0.918,-3,-3,26.747,26.950000000000014,0.09935255271,59.03291255,1.845275112,0.002008195224,22.31500739,-0.03314918254,50.92414221,-145029.0922,58.42908901,-88.37024702,-3.030921142e-05,0.001214660886
