,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,0.0,-2.0,1,1,26.748,0.03985059796,75.8428101,1.964373965,0.001833279317,23.35531239,0.004866513923,4.732979493,4473.894137,-4.753437488,10.91587692,-0.01092186576,0.0007643757063
1,"LOE.12002,LOEN.52002",top,0.0,-2.1,1,1,26.748,0.04104545232,72.60311552,1.911283665,0.001833035005,23.35686877,0.004920759187,5.099580053,5213.22339,-4.924880069,10.90610027,-0.01126445256,0.0007878802177
1,"LOE.12002,LOEN.52002",top,0.0,-2.2,1,1,26.748,0.04234456396,69.56911058,1.863709523,0.001832751279,23.35867662,0.004947890852,5.480935044,6064.217566,-5.089633809,10.85147477,-0.01163737007,0.0008134638922
1,"LOE.12002,LOEN.52002",top,0.0,-2.3,1,1,26.748,0.0437621135,66.72642821,1.821446227,0.001832421095,23.36078103,0.004936011821,5.864174862,7025.65663,-5.2437858,10.73592721,-0.01204480523,0.0008414137888
1,"LOE.12002,LOEN.52002",top,0.0,-2.4,1,1,26.748,0.0453145851,64.06516223,1.784382835,0.001832036497,23.36323296,0.004869312322,6.227444278,8078.884234,-5.381460626,10.53796213,-0.01249163023,0.000872064461
1,"LOE.12002,LOEN.52002",top,-2.0,0.0,1,1,26.748,0.04377813237,69.79345267,2.055268712,0.001832415963,23.36081374,0.004947073664,5.878021866,7041.219209,-5.296521502,10.75450772,0.005048420906,0.0003908604452
1,"LOE.12002,LOEN.52002",top,-2.1,0.0,1,1,26.748,0.04558034831,65.85293139,1.93515043,0.001831967202,23.36367481,0.004864544517,6.293658872,8261.912218,-5.452944088,10.51760006,0.005170649496,0.0004093661812
1,"LOE.12002,LOEN.52002",top,-2.2,0.0,1,1,26.748,0.04759157636,62.12669034,1.822672623,0.00183143312,23.36708122,0.004677288424,6.627328704,9521.788,-5.573490001,10.12628175,0.005298573856,0.0004302549405
1,"LOE.12002,LOEN.52002",top,-2.3,0.0,1,1,26.748,0.04984640564,58.61476937,1.718191765,0.001830801405,23.37111226,0.004344969682,6.792670142,10644.02453,-5.635769336,9.519098622,0.005431059556,0.0004539785781
1,"LOE.12002,LOEN.52002",top,-2.4,0.0,1,1,26.748,0.05238414989,55.33007917,1.62257408,0.001830064477,23.37581731,0.003822076135,6.66852074,11315.33601,-5.60396202,8.613935561,0.005565957512,0.000481074092
1,"LOE.12002,LOEN.52002",top,-2.6,2.4,1,1,26.748,0.03663191759,58.11822657,1.655480457,0.00183389695,23.35137918,0.004696122641,3.783186619,2499.856675,-7.037013545,11.45914932,0.007460979919,0.0002236472462
