,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",top,-0.4,-0.4,3,0.005,26.7485,0.0257317223,234.2410309,6.341514015,0.001849473095,23.25283935,0.01226272606,5.028637716,2449.919127,-6.177628166,20.95161385,-0.001055796558,0.0003452355585
1,"LOE.12002,LOEN.52002",top,-0.7,-0.7,3,0.005,26.7485,0.0285230424,159.6895637,4.333493869,0.001852033644,23.23675956,0.01657703434,9.563135823,7300.832568,-8.99007591,24.09144095,-0.001336444681,0.0003872832005
1,"LOE.12002,LOEN.52002",top,-1.1,-0.7,3,0.005,26.7485,0.03137937845,121.3551246,3.440289348,0.001854570525,23.22086125,0.02196970436,17.08102909,18557.19755,-11.87812336,27.41876617,0.000507643625,0.0003713656873
1,"LOE.12002,LOEN.52002",top,-1.5,-0.7,3,0.005,26.7485,0.03535375077,92.48169251,2.667928235,0.001857816482,23.20056676,0.03123920412,34.74423447,56215.27993,-15.55255244,32.079032,0.001579451154,0.0003898570178
1,"LOE.12002,LOEN.52002",top,-1.9,-0.7,3,0.005,26.7485,0.04128068666,71.1181977,2.067257246,0.001861329852,23.1786602,0.04751680492,80.92178877,206885.9436,-20.28846723,38.26665495,0.002361642571,0.0004396848106
1,"LOE.12002,LOEN.52002",top,-2.3,-0.7,3,0.005,26.7485,0.0506572501,55.19171016,1.621092274,0.001861945699,23.17482665,0.07066580231,191.1088236,795096.2403,-26.61707666,44.15725211,0.003021814076,0.0005353093328
1,"LOE.12002,LOEN.52002",top,-2.7,-0.7,3,0.005,26.7485,0.06569106892,46.00934462,1.405423618,0.00184908484,23.25528043,0.06339548014,218.9841168,1172321.537,-32.05991224,38.82452058,0.003444690399,0.0007065943602
1,"LOE.12002,LOEN.52002",top,-0.7,-1.1,3,0.005,26.7485,0.03080080654,127.2195429,3.31084547,0.001854068278,23.22400617,0.02084422683,15.38940314,15775.69731,-10.97150444,26.70845621,-0.003831695213,0.000480778587
1,"LOE.12002,LOEN.52002",top,-1.1,-1.1,3,0.005,26.7485,0.03406916835,107.396587,2.949503514,0.001856778785,23.2070489,0.02808765787,28.37820002,41672.43641,-13.2533733,30.38444587,-0.001797408532,0.0004683302158
1,"LOE.12002,LOEN.52002",top,-1.5,-1.1,3,0.005,26.7485,0.03893566419,84.88567132,2.409970679,0.001860043135,23.18667593,0.04082535326,60.57414505,135256.3759,-16.8988628,35.54325478,-0.0003612620355,0.0004888330078
