,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",bot,-0.4,-0.4,-0.2,-0.005,26.7495,0.01581116732,227.5109315,6.122319664,0.001834497064,23.34755943,0.00059753253,1.120995767,362.7021074,0.5308810425,-1.842372616,0.0001216328339,-0.0001963440754
1,"LOE.12002,LOEN.52002",bot,-0.7,-0.7,-0.2,-0.005,26.7495,0.01782817118,152.8638222,4.102000325,0.001834419078,23.3480557,0.0003715306224,1.300278643,636.0346842,0.8247217295,-2.382150514,0.0001678838132,-0.0002220804522
1,"LOE.12002,LOEN.52002",bot,-1.1,-0.7,-0.2,-0.005,26.7495,0.02001890353,112.360754,3.10901796,0.001834341012,23.34855252,8.365440205E-05,1.425422176,962.250484,1.17300339,-3.116063093,-0.001185959971,-0.0002113356041
1,"LOE.12002,LOEN.52002",bot,-1.5,-0.7,-0.2,-0.005,26.7495,0.02337010329,82.52009813,2.26314296,0.001834253243,23.34911113,-0.0004340310843,1.410696028,1350.110021,1.743371983,-4.59576197,-0.002210887285,-0.0002231954177
1,"LOE.12002,LOEN.52002",bot,-1.9,-0.7,-0.2,-0.005,26.7495,0.02925831342,60.2293533,1.557991512,0.001834305505,23.34877851,-0.001373296895,0.7465571499,928.1144857,2.926818106,-8.363220194,-0.003436121257,-0.0002595455002
1,"LOE.12002,LOEN.52002",bot,-2.3,-0.7,-0.2,-0.005,26.7495,0.04217258183,44.52195622,0.952707475,0.001836522909,23.33467867,-0.0007111101624,1.473747649,1609.207182,7.368693181,-22.07129619,-0.005857122995,-0.0003467723268
1,"LOE.12002,LOEN.52002",bot,-2.7,-0.7,-0.2,-0.005,26.7495,0.07059089809,44.13292364,0.7971986096,0.001854422002,23.22179112,0.004482211797,-4.178564876,1827.81226,28.38350047,-49.43727638,-0.01179467851,-0.0005193757446
1,"LOE.12002,LOEN.52002",bot,-0.7,-1.1,-0.2,-0.005,26.7495,0.01956990608,121.9388161,3.135572545,0.001834356006,23.3484571,0.0001449533303,1.406628134,896.9591288,1.070864137,-2.950880531,0.001684391306,-0.0002827997171
1,"LOE.12002,LOEN.52002",bot,-1.1,-1.1,-0.2,-0.005,26.7495,0.02225950021,98.54302827,2.633867697,0.001834276192,23.34896507,-0.0002534197963,1.448815081,1248.035848,1.427516545,-4.027211492,0.0001637941837,-0.0002756939754
1,"LOE.12002,LOEN.52002",bot,-1.5,-1.1,-0.2,-0.005,26.7495,0.02680603489,73.46037706,1.963482852,0.001834238056,23.34920779,-0.0009983326356,1.116615775,1306.239145,2.194059877,-6.516936637,-0.0012073384,-0.0002931718408
1,"LOE.12002,LOEN.52002",bot,-1.9,-1.1,-0.2,-0.005,26.7495,0.03579752977,52.62463134,1.309454997,0.00183492155,23.34485869,-0.001853430008,0.1319472466,-5.072930705,4.413502143,-14.16768167,-0.002953115318,-0.0003531119948
1,"LOE.12002,LOEN.52002",bot,-2.3,-1.1,-0.2,-0.005,26.7495,0.05673271122,43.35705548,0.8893921817,0.001843417776,23.29099888,0.00294931763,0.1030489451,-3113.24876,15.4948766,-37.55858577,-0.006748231103,-0.0004984062338
1,"LOE.12002,LOEN.52002",bot,-2.7,-1.1,-0.2,-0.005,26.7495,0.08590647544,49.6830812,1.019060488,0.001863291873,23.16645358,-0.0009800973681,0.9292177323,-6246.042909,36.74154063,-48.67311127,-0.01313733733,-0.0006658001054
1,"LOE.12002,LOEN.52002",bot,-0.7,-1.5,-0.2,-0.005,26.7495,0.02210294918,93.80971068,2.390926046,0.001834280099,23.3489402,-0.0002318865021,1.447929502,1236.834604,1.477971931,-3.980481896,0.002840411932,-0.0003426305844
1,"LOE.12002,LOEN.52002",bot,-1.1,-1.5,-0.2,-0.005,26.7495,0.0257801121,79.4239367,2.085992118,0.001834232045,23.34924605,-0.0008331340568,1.232142003,1372.797774,1.966026544,-5.87721261,0.001508818564,-0.0003538282382
1,"LOE.12002,LOEN.52002",bot,-1.5,-1.5,-0.2,-0.005,26.7495,0.03267289272,60.42360872,1.580535407,0.001834521251,23.34740551,-0.001766872696,0.322141704,307.1144858,3.333115079,-11.00490655,-2.491659129E-05,-0.000396359225
