,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",bot,-0.4,-0.4,-2,-0.005,26.7495,0.01641926194,219.0476958,5.892440416,0.001844016307,23.28721867,-0.002815031455,0.2929335429,55.79203011,4.797724291,-15.2847954,0.0001379680347,-0.0002042059839
1,"LOE.12002,LOEN.52002",bot,-0.7,-0.7,-2,-0.005,26.7495,0.0187122969,145.659643,3.9077025,0.001846954059,23.26869106,-0.002919079837,0.1437441815,10.81327726,7.277018893,-18.95017779,0.0001831590111,-0.0002332648205
1,"LOE.12002,LOEN.52002",bot,-1.1,-0.7,-2,-0.005,26.7495,0.0212895967,105.80098,2.920209763,0.001850818052,23.24438909,-0.002399712697,0.2009305094,14.56081022,10.08732318,-23.70068978,-0.00125939309,-0.0002247670803
1,"LOE.12002,LOEN.52002",bot,-1.5,-0.7,-2,-0.005,26.7495,0.02544638907,76.2224145,2.070397749,0.001858445764,23.1966385,7.095948657E-05,0.8929809883,-40.65591423,14.39951729,-32.71366525,-0.002418161163,-0.0002426363673
1,"LOE.12002,LOEN.52002",bot,-1.9,-0.7,-2,-0.005,26.7495,0.03347015512,54.15571409,1.349211313,0.001877724728,23.07724906,0.007144991789,-1.982518617,-2923.905638,22.64628123,-53.41219767,-0.003990505436,-0.0002949647127
1,"LOE.12002,LOEN.52002",bot,-2.3,-0.7,-2,-0.005,26.7495,0.05345268288,41.93739363,0.8073494158,0.001936666188,22.72336345,-0.06489725137,342.7660304,-2918498.519,47.99297061,-99.09636121,-0.007758594592,-0.000428908066
1,"LOE.12002,LOEN.52002",bot,-0.7,-1.1,-2,-0.005,26.7495,0.02075521294,115.0583688,2.963664331,0.001849977263,23.24967062,-0.00257999668,0.1483353471,3.78608384,9.247458861,-22.63848704,0.001788575882,-0.0002999466337
1,"LOE.12002,LOEN.52002",bot,-1.1,-1.1,-2,-0.005,26.7495,0.02403655949,91.48150572,2.442658034,0.001855633796,23.21420756,-0.001212785103,0.4296590797,-25.01380497,11.93935688,-29.26331219,0.0001708592265,-0.0002974631299
1,"LOE.12002,LOEN.52002",bot,-1.5,-1.1,-2,-0.005,26.7495,0.02999458964,66.41067998,1.755678703,0.001868468968,23.13433687,0.002917782992,-0.1605612481,-1322.689917,17.40363351,-43.40634001,-0.001387137664,-0.0003268517451
1,"LOE.12002,LOEN.52002",bot,-1.9,-1.1,-2,-0.005,26.7495,0.04328509824,47.01500688,1.108143835,0.001905540988,22.90819401,-0.01500113769,49.03714712,-249487.2848,31.62033571,-77.24130895,-0.003754678942,-0.0004211918824
1,"LOE.12002,LOEN.52002",bot,-0.7,-1.5,-2,-0.005,26.7495,0.02384623319,87.25775834,2.237350689,0.001855325251,23.21613777,-0.001173414397,0.4834506816,10.38131825,12.37577216,-29.01176024,0.003056828025,-0.0003693691799
1,"LOE.12002,LOEN.52002",bot,-1.1,-1.5,-2,-0.005,26.7495,0.02860645292,72.15182972,1.899749844,0.001865221839,23.15446518,0.001742543479,0.06837518291,-1017.349657,15.76187721,-39.86542395,0.001645518819,-0.0003916686928
1,"LOE.12002,LOEN.52002",bot,-1.5,-1.5,-2,-0.005,26.7495,0.0384513632,53.43083508,1.376888209,0.001890903781,22.99668756,-0.003454667514,5.951807451,-23316.23269,24.72123513,-64.63848061,-0.0001511077058,-0.0004626157641
1,"LOE.12002,LOEN.52002",bot,-1.9,-1.5,-2,-0.005,26.7495,0.06087702917,45.08795868,1.023744888,0.00194273883,22.68782114,-0.1149347231,718.2748138,-7415443.797,48.6929371,-94.17491539,-0.003687729175,-0.0006346963425
1,"LOE.12002,LOEN.52002",bot,-0.7,-1.9,-2,-0.005,26.7495,0.02900462911,65.16454067,1.724114162,0.00186624055,23.14814474,0.003002178985,0.5511883809,-1482.391334,17.46923194,-41.28622433,0.00434983335,-0.0004636468765
1,"LOE.12002,LOEN.52002",bot,-1.1,-1.9,-2,-0.005,26.7495,0.03738745129,53.46350353,1.430312745,0.001888096263,23.01377875,-0.0001710380808,-0.7194667463,-3567.568937,24.18531338,-62.34881652,0.003305749607,-0.0005397415506
1,"LOE.12002,LOEN.52002",bot,-1.5,-1.9,-2,-0.005,26.7495,0.05555609779,45.03518602,1.126466829,0.001932984639,22.74499253,-0.09554539521,558.6229319,-5457590.529,42.5053118,-91.24441678,0.001262038093,-0.0007050757902
1,"LOE.12002,LOEN.52002",bot,-1.9,-1.9,-2,-0.005,26.7495,0.0817574935,51.58617977,1.195335217,0.001953124609,22.62741926,-0.1003992654,454.8868592,-3467695.085,58.72727756,-79.99180403,-0.003311274172,-0.0008928685626
1,"LOE.12002,LOEN.52002",bot,-2.3,-1.9,-2,-0.005,26.7495,0.1038310338,59.17576856,1.362505483,0.001955678277,22.61264132,-0.05408462252,134.4129986,-574594.7555,66.27835007,-64.64910074,-0.009165089165,-0.0009944765185
1,"LOE.12002,LOEN.52002",bot,-0.7,-2.3,-2,-0.005,26.7495,0.03918522801,47.51808115,1.350858864,0.001894202425,22.97665514,0.00245765047,-3.737565073,213.6318101,28.45012487,-68.62166485,0.006185229708,-0.0006318519606
1,"LOE.12002,LOEN.52002",bot,-1.1,-2.3,-2,-0.005,26.7495,0.05620290889,42.40181175,1.141839732,0.001936436109,22.72471335,-0.09626532962,562.9604824,-5492547.623,45.65345875,-94.16411979,0.005532103183,-0.0008210704118
1,"LOE.12002,LOEN.52002",bot,-1.5,-2.3,-2,-0.005,26.7495,0.07930362014,49.26990958,1.196903844,0.001952597295,22.63047441,-0.1077201759,513.17721,-4145889.615,58.40010981,-81.83796273,0.002705682324,-0.001023601182
1,"LOE.12002,LOEN.52002",bot,-1.9,-2.3,-2,-0.005,26.7495,0.09938469132,58.85748416,1.391051861,0.001951345381,22.63773271,-0.06091522299,164.4588338,-773841.6654,61.11178346,-64.97372673,-0.002182280145,-0.001130875386
1,"LOE.12002,LOEN.52002",bot,-2.3,-2.3,-2,-0.005,26.7495,0.1156947048,64.19469592,1.511388253,0.001951950472,22.63422366,-0.03813972495,65.2361162,-200501.4216,64.97370897,-56.4493702,-0.007669920011,-0.001173898246
1,"LOE.12002,LOEN.52002",bot,-0.7,-2.7,-2,-0.005,26.7495,0.06178394587,38.52057843,1.106085349,0.00195196122,22.63416135,-0.1185017114,732.6459947,-7537139.922,57.1184966,-102.2241056,0.009131829454,-0.0009751942934
1,"LOE.12002,LOEN.52002",bot,-1.1,-2.7,-2,-0.005,26.7495,0.08267923279,46.03645761,1.153358097,0.001958985923,22.59354312,-0.106404564,483.4527149,-3729714.993,65.71629277,-83.38025702,0.007632379772,-0.001186304315
1,"LOE.12002,LOEN.52002",bot,-1.5,-2.7,-2,-0.005,26.7495,0.09964866218,55.86911488,1.343182689,0.001953148559,22.62728053,-0.06291024116,168.7448766,-801029.3113,64.23209803,-65.75987989,0.00413019911,-0.001298495069
1,"LOE.12002,LOEN.52002",bot,-1.9,-2.7,-2,-0.005,26.7495,0.1133873279,63.43450812,1.517195228,0.001949212922,22.65011227,-0.04129333001,71.07811226,-228418.1942,62.08981333,-55.95245867,-0.0004918035884,-0.001341422766
1,"LOE.12002,LOEN.52002",bot,-2.3,-2.7,-2,-0.005,26.7495,0.1255765977,67.22154921,1.606471598,0.001948910308,22.65187069,-0.02978961336,36.63762865,-86947.55163,63.49997018,-51.07002086,-0.00558434749,-0.001346506451
1,"LOE.12002,LOEN.52002",bot,-2.7,-2.7,-2,-0.005,26.7495,0.1363055015,66.05689003,1.57181315,0.001951374569,22.6375634,-0.02334245349,21.11495067,-41628.65949,71.83107318,-48.91112294,-0.01044263561,-0.001340212763
