,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,Qy,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.4,0.1352200647,74.61425652,3.564150218,0.002062401226,22.01980258,-0.1413239342,3.271798188e+31,-1.954098406e+64,187.8836603,-51.46115974,-0.02432212834,0.002231565785
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.45,0.1353129343,74.68789794,3.567498263,0.002062299287,22.02034679,-0.7568735001,2.865369712e+33,1.407082077e+67,188.3726335,-58.47121215,-0.0243358766,0.002233120676
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.5,0.1348703035,74.36852425,3.553067231,0.002062891362,22.0171865,0.1929843674,-1.789090823e+33,1.72576079e+52,186.1507407,-79.05206077,-0.02427157854,0.002225556514
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.55,0.134949904,74.42607276,3.555669531,0.002062784563,22.01775646,0.6710653053,2.982995629e+35,-1.554041331e+71,186.5488552,-101.3188411,-0.02428314416,0.002226916997
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.6,0.1344994674,74.09443832,3.540644129,0.002063373282,22.0146152,181.507249,4.220608607e+41,5.11764034e+80,184.2880584,-44.44395673,-0.02421747553,0.002219242562
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.650000000000002,0.1346120548,74.17855048,3.544461075,0.00206322924,22.01538365,-0.6122667734,-1.745510726e+33,4.31819733e+67,184.854504,-56.84411575,-0.02423393471,0.002221155975
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.700000000000003,0.1344235883,74.03723315,3.538045755,0.002063468984,22.01410468,-4.398904045,-6.175506974e+37,-4.503641208e+74,183.9056215,-33.94259376,-0.02420636337,0.002217955097
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.750000000000004,0.1342298434,73.88878797,3.531292633,0.002063706653,22.01283701,-0.2193886116,1.717731127e+32,6.820961516e+64,182.9251915,-333.0542021,-0.02417789991,0.00221467775
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.800000000000004,0.1340266807,73.72801381,3.523958239,0.00206394067,22.01158902,-8.886478314,-9.879029268e+37,-9.227638441e+74,181.8867355,-324.8500556,-0.02414785631,0.002211263328
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.85,0.02631806253,204.6693056,-5.4743967,0.001883585396,23.04131932,-0.5701371735,-1.032759208e+31,-8.054932138e+62,-8.257751176,52.33660719,-0.005033251352,0.0004528425515
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.900000000000002,0.02629983032,205.0246679,-5.472157592,0.001883855777,23.03966576,3.142714225,-1.577364032e+32,8.970996931e+53,-8.24927243,50.3541548,-0.005030680365,0.0004524586188
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,26.950000000000003,0.02625507557,206.022483,-5.467327577,0.001884051817,23.03846706,0.3335169467,5.756735765e+28,-5.056219982e+61,-8.156409159,47.73875655,-0.00502265519,0.0004516070233
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,27.000000000000004,1.269308674e-14,63.85582941,1.741579726,0.001853974296,23.2245948,0.0006173430072,-0.0899415712,0.4331417352,12.47999998,7.999999979,-4.351215618e-15,1.181108342e-16
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,27.050000000000004,0.02641424259,202.0377205,-5.481292148,0.001885142014,23.03180441,-0.1022807397,-2.2336524e+30,-2.987443005e+61,-8.769164593,50.56450341,-0.005057734394,0.0004542903193
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,27.100000000000005,0.02636615957,203.0998172,-5.476399654,0.001885329101,23.03066162,-0.4269814616,3.005550442e+22,-3.259790267e+61,-8.663098437,47.33731229,-0.00504901369,0.0004533801483
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,27.150000000000006,0.02634752658,203.4621797,-5.474171323,0.001885598876,23.02901404,-1.355615787,-1.282649479e+32,8.781849929e+64,-8.65300514,44.46187709,-0.005046349773,0.000452989608
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,27.200000000000006,0.02633615305,203.6513977,-5.472611254,0.001885889106,23.02724195,-0.3446689182,-1.602514762e+31,-1.720645184e+62,-8.666477136,39.10464819,-0.005045177182,0.0004527272238
1,"LOE.22002,LOE.32002",top,-3,-2,-3.12,-3.12,26.7495,27.250000000000007,0.0263276902,203.7711133,-5.471321294,0.001886187588,23.02541989,-0.01375155216,2.2336524e+30,5.057851573e+61,-8.689398648,32.97269691,-0.005044601363,0.0004525162816
