,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.32002,LOEN.52002",top,-0.4,-0.4,3.12,2,26.247,0.04696532726,125.9404844,3.835925167,0.001936231138,22.72591615,0.01352199539,4.365348309,2055.063295,-11.77395317,42.43773541,0.007146703067,0.0003672413235
1,"LOE.32002,LOEN.52002",top,-0.7,-0.4,3.12,2,26.247,0.05202613237,97.36868329,2.935361051,0.001940209008,22.70260755,0.01798651784,7.762708788,4938.897464,-15.27737886,48.18069396,0.007884607494,0.0004071541981
1,"LOE.32002,LOEN.52002",top,-1.0,-0.4,3.12,2,26.247,0.05902860653,77.22602845,2.291427611,0.001945214555,22.67337885,0.02555953164,15.61698912,14221.55576,-19.43737343,56.18046026,0.008835956216,0.0004643569987
1,"LOE.32002,LOEN.52002",top,-1.3,-0.4,3.12,2,26.247,0.06941278965,61.80250806,1.788904573,0.001950517612,22.64253574,0.03887835666,36.32236199,51355.78003,-24.90979014,67.0962585,0.01019357862,0.0005503485812
1,"LOE.32002,LOEN.52002",top,-1.6,-0.4,3.12,2,26.247,0.08589142981,50.73700966,1.417119298,0.001950331296,22.64361724,0.05633193721,83.7567607,193560.5011,-32.5056289,77.87441812,0.01232896624,0.0006859618586
1,"LOE.32002,LOEN.52002",top,-1.9,-0.4,3.12,2,26.247,0.1105064735,47.56208028,1.303200894,0.001929165532,22.76749517,0.04362533983,74.81333514,206566.4206,-38.16553754,73.56140079,0.01575030235,0.000876796885
1,"LOE.32002,LOEN.52002",top,-2.2,-0.4,3.12,2,26.247,0.136436593,54.02933693,1.533155786,0.001901295492,22.93375617,0.01358022684,13.78419065,22789.26693,-30.97343398,1226.432825,0.02022958043,0.001037421392
1,"LOE.32002,LOEN.52002",top,-0.4,-0.7,3.12,2,26.247,0.05144288318,99.62684045,3.015854681,0.001939760161,22.70523401,0.01741784603,7.276889772,4478.215222,-14.89975831,47.52398854,0.007581927155,0.0004092611556
1,"LOE.32002,LOEN.52002",top,-0.7,-0.7,3.12,2,26.247,0.05820434972,78.76672425,2.356190706,0.001944677485,22.67650954,0.02456172108,14.41644388,12629.59395,-18.95884584,55.25705468,0.008419970955,0.0004669930986
1,"LOE.32002,LOEN.52002",top,-1.0,-0.7,3.12,2,26.247,0.06817221815,62.7353043,1.846191455,0.00195012704,22.64480306,0.03715658683,32.97181154,44362.68318,-24.22189144,65.92562309,0.00955627375,0.0005547355035
1,"LOE.32002,LOEN.52002",top,-1.3,-0.7,3.12,2,26.247,0.08402928653,50.67950204,1.465377006,0.001951363107,22.63762988,0.05529528138,78.08603394,170949.499,-31.49064692,77.42203957,0.01121610455,0.0006976006904
1,"LOE.32002,LOEN.52002",top,-1.6,-0.7,3.12,2,26.247,0.1088224423,45.62915694,1.326258047,0.001932318846,22.74891066,0.04825931186,84.76690384,237127.2187,-37.811762,74.17851953,0.01365248128,0.0009215250095
1,"LOE.32002,LOEN.52002",top,-1.9,-0.7,3.12,2,26.247,0.1369669729,51.59267295,1.563526077,0.001901360718,22.93336279,0.01451716933,15.87065122,27780.79859,-30.90542029,1510.569551,0.01673332423,0.001154812909
1,"LOE.32002,LOEN.52002",top,-2.2,-0.7,3.12,2,26.247,0.1597049629,63.17821977,1.998456829,0.001885642279,23.02874901,0.003785529103,2.282523812,1832.570809,-18.66093425,158.0981479,0.02023226267,0.001286259896
1,"LOE.32002,LOEN.52002",top,-0.4,-1.0,3.12,2,26.247,0.05740401153,80.43227639,2.423273452,0.001944128539,22.67971079,0.02363768853,13.36056319,11235.55796,-18.51122835,54.37159041,0.008029991281,0.0004691251674
1,"LOE.32002,LOEN.52002",top,-0.7,-1.0,3.12,2,26.247,0.06695978943,63.88857758,1.907454526,0.001949628718,22.64769686,0.03552679375,30.0887548,38587.15969,-23.60371556,64.74583435,0.008971081322,0.0005578630112
1,"LOE.32002,LOEN.52002",top,-1.0,-1.0,3.12,2,26.247,0.0821110917,51.16332577,1.525231433,0.001951947726,22.63423958,0.05371664307,72.22673773,150268.9182,-30.6004456,76.6565109,0.01021452058,0.0007051219693
1,"LOE.32002,LOEN.52002",top,-1.3,-1.0,3.12,2,26.247,0.1064887873,44.83876681,1.380386122,0.001935604955,22.72959186,0.05225436039,92.64220255,259895.2529,-37.43101037,75.58250111,0.01172172882,0.0009533919212
1,"LOE.32002,LOEN.52002",top,-1.6,-1.0,3.12,2,26.247,0.1364992509,50.36646085,1.632511203,0.00190238393,22.92719452,0.01615070724,19.06879698,35658.84382,-31.38801852,2810.976903,0.01321571313,0.001258654362
