,name,island,k31,k32,cent_DQ1,cent_DQ2,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOEN.52002",cent,-1.403,-1.687,1,0.005,26.747,4.357225083e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.001022309526,-0.0841131182,0.4685645624,3.999999978,0.01999997921,2.118912647e-13,4.563134936e-14
1,"LOE.12002,LOEN.52002",cent,-1.957,-2.918,3,0.005,26.747,4.355292222e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005993597934,-0.08926216355,0.3514211397,11.99999998,0.01999997928,2.118871107e-13,4.563145292e-14
1,"LOE.12002,LOEN.52002",cent,-1.732,-2.479,-0.2,-0.005,26.747,4.356614633e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.001275964735,-0.08084918464,0.515871015,-0.8000000216,-0.02000002082,2.118851408e-13,4.563156917e-14
1,"LOE.12002,LOEN.52002",cent,-1.336,-1.586,-0.2,-0.005,26.747,4.356614633e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.001275964735,-0.08084918486,0.5158696655,-0.8000000216,-0.02000002082,2.118851257e-13,4.563156896e-14
1,"LOE.12002,LOEN.52002",top,-1.732,-2.479,-0.2,-0.005,26.747,0.1044410825,63.81194256,1.954792333,0.001855448819,23.21536469,-0.001574624043,-0.6803055332,144.1402945,26.18053077,-33.09100321,-0.01524269996,0.001708273679
1,"LOE.12002,LOEN.52002",top,-1.336,-1.586,-0.2,-0.005,26.747,0.06683020778,74.18711177,2.123689359,0.001834076799,23.35023423,-0.001963158714,0.1190371591,-4.50702269,6.870096234,-16.78919506,-0.006717888648,0.00100719489
1,"LOE.12002,LOEN.52002",bot,-1.732,-2.479,-0.2,-0.005,26.747,0.1044410825,70.85793265,1.7182549,0.001855448819,23.21536469,-0.001574624043,-0.6803055332,144.1402946,26.18053077,-33.09100321,-5.373390479e-06,-0.001248323735
1,"LOE.12002,LOEN.52002",bot,-1.336,-1.586,-0.2,-0.005,26.747,0.06683020778,81.76138651,2.085439541,0.001834076799,23.35023423,-0.001963158714,0.1190371591,-4.507022685,6.870096234,-16.78919506,-5.26091759e-06,-0.0008046182257
1,"LOE.12002,LOEN.52002",top,-1.403,-1.687,1,0.005,26.747,0.06683833191,72.8885488,2.095386604,0.001826572584,23.39815064,0.0006250930297,2.287019778,2834.213378,-2.000062646,-1.690039574,-0.006965671953,0.001014523661
1,"LOE.12002,LOEN.52002",bot,-1.403,-1.687,1,0.005,26.747,0.06683833191,80.60116159,2.048866906,0.001826572584,23.39815064,0.0006250930297,2.287019778,2834.213378,-2.000062645,-1.690039575,9.448549448e-06,-0.0008048016363
1,"LOE.12002,LOEN.52002",bot,-1.957,-2.918,3,0.005,26.747,0.1045482159,71.80222317,1.733449424,0.001815564584,23.46897643,0.0004364158802,1.3217283,1273.241385,-5.645613553,-2.627595904,8.710996575e-06,-0.001248064119
1,"LOE.12002,LOEN.52002",top,-1.957,-2.918,3,0.005,26.747,0.1045482159,64.66259679,1.994975257,0.001815564584,23.46897643,0.0004364158802,1.3217283,1273.241385,-5.645613553,-2.627595904,-0.01638517419,0.001743124164
