,name,island,k3,max_X,BETX,ALFX,ALPHA_C,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,LOE.22002,top,0.3,0.03089649202,273.7938046,6.094904905,0.001845478005,0.00829186779,2.117170943,456.2986442,-4.676577179,25.25516164,-0.008174973814,0.0005850783638
1,LOE.22002,bot,0.3,0.03089649202,310.7512865,7.02355449,0.001845478005,0.00829186779,2.117170943,456.2986419,-4.676577179,25.25516164,0.006849933981,-0.0005444300259
1,LOE.22002,top,0.4,0.03068200959,237.4686261,5.302727825,0.001845376436,0.008148269097,2.028475549,412.9041616,-5.410841597,25.1649703,-0.008142508428,0.0005815226233
1,LOE.22002,bot,0.4,0.03068200959,269.0839643,6.090329323,0.001845376436,0.008148269096,2.028475548,412.9041577,-5.410841597,25.1649703,0.006838928122,-0.0005415175825
1,LOE.22002,top,0.5,0.03047204821,213.3993087,4.781374394,0.001845276574,0.008009234938,1.944220264,372.8345255,-6.042010912,25.07663471,-0.008099772413,0.0005777986418
1,LOE.22002,bot,0.5,0.03047204821,241.4040476,5.473183632,0.001845276574,0.008009234937,1.944220262,372.834521,-6.042010912,25.07663471,0.00681630354,-0.0005383973028
1,LOE.22002,top,0.6,0.03026636423,196.0165093,4.407006049,0.001845178386,0.007874573173,1.864133715,335.8131065,-6.600183384,24.99009699,-0.008052652895,0.0005740341318
1,LOE.22002,bot,0.6,0.03026636423,221.3689977,5.028139475,0.001845178386,0.007874573173,1.864133714,335.8131037,-6.600183383,24.99009698,0.00678837524,-0.0005352094145
1,LOE.22002,top,0.7,0.03006477645,182.7456001,4.122659602,0.001845081843,0.007744099845,1.787963912,301.5891113,-7.10300588,24.90530579,-0.008003566744,0.0005702804346
1,LOE.22002,bot,0.7,0.03006477645,206.0420667,4.688790736,0.001845081843,0.007744099844,1.787963911,301.5891067,-7.103005879,24.90530579,0.006757750192,-0.0005320108187
1,LOE.22002,top,0.8,0.0298671324,172.2119604,3.898033196,0.001844986915,0.007617639829,1.715476711,269.9347428,-7.561906161,24.82221294,-0.007953677596,0.0005665613942
1,LOE.22002,bot,0.8,0.0298671324,193.853379,4.419736146,0.001844986915,0.007617639829,1.71547671,269.9347386,-7.56190616,24.82221294,0.006725695256,-0.000528828378
1,LOE.22002,top,0.9,0.02967329583,163.6066081,3.715346333,0.001844893573,0.007495026676,1.646454395,240.6428333,-7.984804448,24.74077235,-0.007903606404,0.0005628889983
1,LOE.22002,bot,0.9,0.02967329583,183.8780978,4.20016414,0.001844893573,0.007495026676,1.646454394,240.6428321,-7.984804448,24.74077235,0.00669289624,-0.0005256759762
