,name,island,k3,Qx,max_X,BETX,ALFX,ALPHA_C,GAMMA_TR,ALPHA_C_P,ALPHA_C_P2,ALPHA_C_P3,DQ1,DQ2,ORBIT_X,ORBIT_PX
1,"LOE.12002,LOE.22002",cent,-1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836035,0.334601376,12.47999998,7.999999979,2.11893542e-13,4.563136593e-14
1,"LOE.12002,LOE.22002",cent,1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836135,0.334594071,12.47999998,7.999999979,2.118936139e-13,4.563137029e-14
1,"LOE.22002,LOE.32002",cent,-1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836033,0.3346014755,12.47999998,7.999999979,2.11893293e-13,4.563137815e-14
1,"LOE.22002,LOE.32002",cent,1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836137,0.3345939715,12.47999998,7.999999979,2.118935611e-13,4.563137037e-14
1,"LOE.12002,LOE.32002",cent,-1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836024,0.3346020873,12.47999998,7.999999979,2.118934731e-13,4.56313738e-14
1,"LOE.12002,LOE.32002",cent,1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836146,0.3345933597,12.47999998,7.999999979,2.118937051e-13,4.563136815e-14
1,"LOE.22002,LOEN.52002",cent,-1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836035,0.3346012958,12.47999998,7.999999979,2.118935379e-13,4.563137073e-14
1,"LOE.22002,LOEN.52002",cent,1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836135,0.3345941512,12.47999998,7.999999979,2.118936292e-13,4.563137225e-14
1,"LOE.32002,LOEN.52002",cent,-1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836024,0.334602007,12.47999998,7.999999979,2.118934544e-13,4.563137168e-14
1,"LOE.32002,LOEN.52002",cent,1.8,26.747,4.357496808e-12,63.83169073,1.744250895,0.001835241427,23.34282413,0.0005968517481,-0.09166836147,0.33459344,12.47999998,7.999999979,2.118937093e-13,4.563136711e-14
